"","applicants","sale_price","num_units","year_sold","month_sold","overall_qual","total_sq_feet","gr_liv_area","tot_bathrooms","lot_area","exter_qual","full_bath","central_air","garage_type_attchd","garage_type_basment","garage_type_builtIn","garage_type_detchd","garage_type_no_garage","NeighborhoodBrDale","neighborhood_brk_side","neighborhood_clear_cr","neighborhood_collg_cr","neighborhood_crawfor","neighborhood_edwards","neighborhood_gilbert","neighborhood_idottrr","neighborhood_meadowv","neighborhood_mitchel","neighborhood_n_ames","neighborhood_n_ridge","neighborhood_n_ridge_hghts","neighborhood_n_w_ames","neighborhood_old_town","neighborhood_sawyer","neighborhood_sawyer_w","neighborhood_somerst","neighborhood_stone_br","neighborhood_swisu","neighborhood_timber","neighborhood_veenker","neighborhood_sale_price"
"342",1,140199.999999996,1,2011,10,6,3576.19735271439,2659.83899121805,1,3362.06534369062,3,2,"yes",0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126987.794117647
"343",1,151500.000000006,2,2007,4,6,3117.18201606777,1889.16578535544,1,4711.36663720829,3,2,"yes",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,147744.311111111
"344",5,157499.999999996,1,2009,12,6,3814.41767068601,2559.57545785843,4,5342.52983870441,3,4,"yes",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,147744.311111111
"345",1.33333333333333,154000.000000005,3,2008,10,7,3472.62612652363,2707.15991813022,5,1459.99086006796,4,4,"yes",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,306152.504807691
"346",3,437154.000000018,1,2011,4,9,4517.21099517845,3507.50578106845,5,5636.1334877078,5,4,"yes",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,306152.504807691
"347",5,318060.99999999,1,2007,12,9,4191.88936903213,2922.56823906802,3,3745.7474640015,5,4,"yes",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,306152.504807691
"348",1.66666666666667,189999.999999996,3,2011,12,7,3786.98339875449,2533.19454499652,3,2969.34313903108,3,2,"yes",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,205982.833333333
"349",0.25,95000.0000000021,4,2008,3,5,2950.20341671848,2118.22864028406,2,4040.66157703977,3,2,"no",0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123526.718146718
"350",1,105900,1,2010,5,6,2547.10871682822,1447.74786214536,1,3914.4947517424,3,2,"yes",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,124716.124590164
"351",1,139999.999999994,4,2011,6,6,3567.340903268,2677.3907884999,1,3886.57477972901,3,2,"yes",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,142765.432835822
"352",3.5,177499.999999999,2,2007,8,6,3479.34027115488,2237.37484190755,4,4461.42784452118,4,4,"yes",1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,198517.720512821
"353",3.5,172999.999999997,2,2009,7,6,3428.28754012551,2194.25984812181,4,4075.88052250957,3,4,"yes",1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,193941.862745098
"354",4,133999.999999994,1,2007,8,5,3399.67825198506,2160.77808180519,3,2533.52309512797,3,2,"yes",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,101947.916666666
"355",6,129999.999999998,1,2011,7,5,3488.69324353825,2421.78616880971,2,3507.92931475958,3,2,"yes",0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,205982.833333333
"356",1,280000.000000004,5,2011,6,8,3843.53045005175,2967.42549203987,5,4590.44322096983,4,4,"yes",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,331835.284403672
"357",3,156000.000000004,1,2007,6,6,3016.76751135316,1813.09975067578,3,3673.97852696756,3,2,"yes",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,157755.829787233
"358",1,144999.999999998,4,2008,7,5,3471.27992835432,2587.57059690827,3,4053.61976553802,3,2,"yes",0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126987.794117647
"359",1.33333333333333,198500.000000004,3,2009,7,7,3122.20922865409,2965.81689847444,4,3610.57814210804,4,6,"yes",0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123526.718146718
"360",1,118000,1,2009,5,6,2691.16587548824,1935.26733475976,2,719.24046715411,3,2,"yes",0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104897.727272726
"361",1.66666666666667,189999.999999996,3,2011,7,6,3459.11318089266,2656.89423891056,5,5472.36476475416,3,4,"yes",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,191923.372093023
"362",0.666666666666667,147000.000000004,3,2009,7,5,3198.98442276902,2412.60917010946,1,4361.09860350536,3,2,"yes",0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101388.678571428
"363",1.25,159000.000000005,4,2009,7,6,3720.32098459916,2469.09233330801,3,4128.79853974867,3,2,"yes",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,147744.311111111
"364",0.333333333333333,164999.999999997,3,2008,12,6,3564.16603206098,2509.60138448602,2,4054.91090530523,3,2,"yes",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,147744.311111111
"365",1.33333333333333,131999.999999999,3,2010,3,5,3567.97512630734,2322.6010314372,1,3740.70698577844,3,2,"yes",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,147744.311111111
"366",2,161999.999999996,1,2010,3,5,3445.4857659134,2345.59861586173,3,4196.01219049918,3,2,"yes",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,147744.311111111
"367",5,172399.999999995,1,2011,1,6,3618.53418341608,2742.88674257719,3,3820.08808788855,3,4,"yes",1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,193941.862745098
"368",3,134431.999999999,2,2008,7,4,2815.29762067641,2670.58872536931,3,5288.09933973587,3,4,"yes",0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,205982.833333333
"369",1,124999.999999995,5,2010,2,6,2719.35148508427,1514.94829853721,3,3576.31311490648,3,2,"yes",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,181841.174999999
"370",1,123000.000000006,5,2009,11,5,3126.38660497819,2383.57516887738,3,4350.76009799347,3,2,"yes",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,147744.311111111
"371",1,219500.000000008,4,2007,7,7,3712.80500063464,2970.6376714405,3,3839.14307436569,4,4,"yes",0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,198517.720512821
"372",1,60999.999999997,1,2009,3,1,2814.28490001441,1799.48059240041,2,4233.69477995384,2,0,"no",0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123526.718146718
"373",5,148000.000000007,1,2011,7,5,3002.41197409713,1816.48589397571,1,3988.40368669676,4,2,"yes",0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,198517.720512821
"374",0.6,339999.999999985,5,2007,12,8,4319.23084441515,3351.31622943079,4,4442.79172109112,4,6,"yes",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,231775.424528302
"375",0.75,394431.999999994,4,2010,6,9,4180.66378008963,2911.77288038614,3,4486.63824565976,4,2,"yes",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,309745.587301588
"376",5,179000.000000002,1,2009,6,6,3716.85643182049,2864.3891102818,3,3820.57277524653,3,4,"yes",1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,193941.862745098
"377",2,126999.999999996,2,2010,5,5,3678.83759758725,2767.77950782384,3,2865.45859985535,3,4,"yes",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,142765.432835822
"378",1.75,187750.000000004,4,2011,8,7,3604.33871262713,2362.32815037391,4,3583.1593264897,4,4,"yes",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,231775.424528302
"379",1.5,213499.999999996,2,2007,4,7,3690.04403251076,2861.80928161437,3,4075.2418987588,4,4,"yes",1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,198517.720512821
"380",0,76000.0000000024,3,2009,10,6,2794.92107569175,1579.35153298984,1,4022.37560608457,3,2,"no",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,181841.174999999
"381",3,239999.999999993,1,2007,6,6,4101.17790078512,2990.56412332038,5,7516.54955622632,4,4,"yes",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,205982.833333333
"382",3,81000.0000000019,1,2011,5,5,3053.85240394988,2216.62057446091,1,3888.91662832128,3,2,"yes",0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123526.718146718
"383",2,124999.999999995,1,2009,10,6,3314.38091886464,2137.58951498456,3,3583.1593264897,3,2,"yes",0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123526.718146718
"384",3.5,191000.000000006,2,2008,7,7,3809.51390381825,2560.62139697943,3,4104.19646059721,4,4,"yes",1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,198517.720512821
"385",4,425999.999999997,1,2008,8,10,4306.46009637769,3264.89354025996,5,4664.89504055458,5,4,"yes",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,306152.504807691
"386",2,119000.000000004,1,2008,4,5,3359.76146053395,2438.84771838569,3,3887.7460522658,3,2,"yes",0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123526.718146718
"387",0.666666666666667,215000,3,2009,6,6,3706.99948470405,2996.88677510125,5,4622.62744238126,3,4,"yes",0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,157755.829787233
"388",4,106499.999999998,1,2007,7,5,1870.12617365569,1761.39783026525,1,3872.22885644985,3,2,"yes",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,147744.311111111
"389",1,99999.9999999972,1,2011,4,4,2803.10269138648,1587.216692847,1,3649.28585956416,3,2,"yes",0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126987.794117647
"390",1.5,109000.000000002,2,2007,7,5,2988.8363094104,2007.18432240918,1,4255.96288574512,3,2,"yes",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,124716.124590164
"391",0.75,128999.999999999,4,2010,6,5,3402.4919067792,2163.48344415614,3,4143.45467584847,3,2,"yes",1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123526.718146718
"392",1,123000.000000005,3,2009,9,5,3006.01288599447,1782.28633916326,1,3583.1593264897,3,2,"yes",0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,198517.720512821
"393",2.5,169499.999999993,2,2007,7,5,3654.38597746928,2874.6656297573,3,3686.98781099386,3,4,"yes",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,147744.311111111
"394",0.4,66999.9999999998,5,2007,11,5,3216.43604746852,2070.17557967084,1,4015.14510055259,3,2,"yes",0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101388.678571428
"395",0.75,241000.000000002,4,2009,10,7,3633.82328080591,2633.13228456651,4,3821.05734329685,4,4,"yes",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,231775.424528302
"396",1.66666666666667,245499.999999997,3,2008,12,8,3575.56636360316,2346.79959913552,3,5023.01638481668,4,2,"yes",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,245890.624999997
"397",2.33333333333333,164990.000000002,3,2011,7,7,3620.37656581076,2372.9881250468,3,3970.74633778517,4,4,"yes",1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,198517.720512821
"398",0.666666666666667,108000.000000005,3,2008,8,5,2547.10871682822,1341.13697723217,1,4268.74074412545,3,2,"yes",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,136902.412935323
"399",6,258000.000000012,1,2011,7,8,4041.3574428046,3218.43574876436,3,4603.34755775405,4,4,"yes",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,331835.284403672
"400",4,168000.000000001,1,2007,5,6,3464.5319875942,2654.92795291461,3,4300.13725344691,3,4,"yes",0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,193941.862745098
"401",0.4,150000.000000001,5,2009,6,4,3784.21406304141,2701.44266949409,4,4227.98966696748,3,4,"yes",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,136902.412935323
"402",0.75,115000.000000002,4,2008,3,6,3670.52998264427,2719.47529951758,1,4322.04601767828,3,2,"yes",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,142765.432835822
"403",5,177000.000000006,1,2008,3,6,3557.79743024202,2757.68629944991,3,5102.05033610944,3,4,"yes",1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,213681.737226277
"404",1.75,280000.000000004,4,2007,8,7,3959.46310575893,3154.95175747416,3,4913.60513338133,4,4,"yes",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,306152.504807691
"405",1.5,339750.000000003,2,2008,4,8,3897.12393839538,3086.52015352545,5,4381.24965852583,4,4,"yes",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,231775.424528302
"406",6,59999.9999999978,1,2009,6,5,3578.0888364343,2332.32591416156,1,4143.45467584847,3,2,"yes",1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123526.718146718
"407",1,144999.999999998,1,2011,1,5,3273.78523069206,2039.73262665363,3,6675.97347025484,3,2,"no",1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,193941.862745098
"408",5,221999.999999996,1,2010,6,7,3810.05950555943,2559.57545785843,5,2615.20634552529,5,4,"yes",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,231775.424528302
"409",0.25,115000.000000002,4,2010,3,5,3214.85733613628,1998.18739665574,1,4013.60793678866,3,2,"yes",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,124716.124590164
"410",0.6,228000.000000005,5,2008,12,7,3930.36814691833,3100.59823508027,4,4457.74976955246,4,4,"yes",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,181841.174999999
"411",1.75,181134,4,2007,8,7,3656.78792896956,2408.00018123512,3,4000.16160273709,4,4,"yes",1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,193941.862745098
"412",0.4,149500.000000003,5,2011,3,6,3243.03978042615,2475.73383221774,2,3751.77905108553,3,2,"yes",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,136902.412935323
"413",0.5,238999.999999989,2,2007,11,6,4298.42658795536,3447.3799683455,5,5819.00407287231,3,4,"no",0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,213681.737226277
"414",0.333333333333333,125999.999999998,3,2007,4,5,3095.21404093613,2149.909086319,3,3829.51803284892,3,2,"no",0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123526.718146718
"415",5,142000,1,2010,7,5,3273.78523069206,2039.73262665363,3,3898.25626246711,3,2,"yes",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,147744.311111111
"416",3,206299.999999991,1,2008,11,7,3661.58109964684,2412.60917010946,5,3544.51019874879,3,4,"yes",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,157755.829787233
"417",3,215000,1,2009,6,6,3943.9778415632,2684.16308320645,3,5231.52937298658,4,4,"yes",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,191923.372093023
"418",1.33333333333333,113000.000000003,3,2008,2,5,3166.76087732129,1936.83280466626,1,5759.28140614889,3,2,"yes",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,157755.829787233
"419",5,315000.000000009,1,2008,6,8,4340.55422062448,3450.91299926513,5,4065.63759757486,4,4,"yes",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,331835.284403672
"420",2.5,138999.999999996,2,2008,5,6,3473.97119910906,2232.21231211325,3,4022.37560608457,3,2,"yes",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,147744.311111111
"421",2,135000.000000004,1,2009,9,7,3218.01321104431,2463.53589333236,2,2093.6696405174,3,2,"yes",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,124716.124590164
"422",1.66666666666667,274999.999999998,3,2009,8,7,3922.75715628991,2724.18600900194,5,4715.67723683842,4,4,"yes",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,181841.174999999
"423",1.25,109008.000000006,4,2008,7,4,3029.22437340686,1804.6018332707,1,3931.28769163801,3,2,"yes",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,147744.311111111
"424",1.5,195399.999999996,2,2007,9,7,3490.02495447394,2247.64851861817,4,3459.62578240999,4,4,"yes",1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,198517.720512821
"425",2.5,175000.000000008,2,2009,3,6,3729.52347930235,2488.93192391035,4,4497.49191466806,3,4,"yes",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,243074.457142856
"426",0.6,85400.0000000033,5,2008,7,6,2691.16587548824,1935.26733475976,2,719.24046715411,3,2,"yes",0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104897.727272726
"427",1.5,79900.0000000027,2,2008,9,6,3263.85726785561,2234.79572985952,1,3083.5838045428,3,2,"yes",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,124716.124590164
"428",0.6,122499.999999998,5,2007,8,5,3287.43126960018,2436.58368452082,3,981.95832918633,3,2,"yes",0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104897.727272726
"429",7,181000.000000007,1,2008,7,6,3564.16603206098,2686.09259327016,3,4388.34487900531,3,4,"yes",1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,193941.862745098
"430",0.2,81000.0000000019,5,2008,6,4,2443.3648999309,1241.41903672991,3,950.97304581367,3,2,"yes",0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,101947.916666666
"431",3,212000.000000011,1,2009,4,7,3519.04710100569,2740.09599904244,5,4356.85900010875,4,4,"yes",1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,198517.720512821
"432",1,116000,1,2011,10,6,2986.10737454319,2127.9393562328,1,2613.864909225,3,2,"yes",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,124716.124590164
"433",0.5,119000.000000004,2,2009,1,6,3006.01288599447,1799.48059240041,1,3224.30349679417,4,2,"yes",0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126987.794117647
"434",0,90350.0000000024,5,2007,3,5,2274.01247305174,1390.91359496131,1,2559.44381547985,3,2,"no",0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,213681.737226277
"435",1,110000.000000005,3,2009,8,6,3086.684292859,2232.21231211325,1,4645.8673512661,3,2,"yes",0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123526.718146718
"436",3,555000.000000016,1,2009,4,10,4811.85967017925,3310.64124720594,4,5083.64000709713,5,4,"yes",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,306152.504807691
"437",0.25,118000,4,2008,9,4,3772.53051139623,2519.29664894329,3,4606.27599122807,3,4,"no",0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123526.718146718
"438",1,162899.999999994,2,2008,6,5,3639.2919774665,2655.91140821979,3,3301.49911655881,3,4,"yes",0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126987.794117647
"439",1.66666666666667,209999.999999999,3,2008,7,7,3740.38350549898,2954.50967896528,5,3966.92585815613,4,4,"yes",1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,198517.720512821
"440",4,127499.999999998,1,2009,11,6,3903.82796711985,2765.94926885164,1,4201.01183176665,3,2,"yes",1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123526.718146718
"441",0.6,189999.999999996,5,2010,6,6,4041.82982769081,2938.21182562559,3,5214.53486674472,4,4,"yes",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,147744.311111111
"442",7,199900.000000002,1,2011,7,7,3736.3909677187,2936.57255971954,3,4455.29389615222,4,4,"yes",1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,193941.862745098
"443",1,119500,1,2011,6,6,3306.94007896412,2448.99507848817,3,3932.89047205357,3,4,"yes",0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101388.678571428
"444",0.666666666666667,120000.000000002,3,2007,6,3,3045.09989749303,2215.31414393113,2,3224.30349679417,3,2,"yes",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,124716.124590164
"445",0.25,110000.000000005,4,2011,6,6,2853.31609112881,1635.48844428716,1,3117.81437853685,3,2,"yes",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,124716.124590164
"446",1.5,280000.000000004,2,2011,12,7,3873.17511129894,2616.07737170821,4,8081.51490050601,3,4,"yes",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,205982.833333333
"447",7,204000.000000009,1,2007,7,6,3625.27929484265,2826.11366702247,5,4087.55205707169,4,4,"yes",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,243074.457142856
"448",5,209999.999999999,1,2009,6,8,3450.9505922929,2672.53522483427,3,4022.37560608457,4,4,"yes",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,231775.424528302
"449",0.8,188000.000000002,5,2011,7,5,4065.73935789738,2801.25422685836,5,4086.28215635385,3,4,"yes",0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,157755.829787233
"450",4,175500.000000007,1,2007,9,7,3534.65941975779,2290.56633758604,2,4149.40973939365,3,2,"yes",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,191923.372093023
"451",0,97999.9999999991,5,2008,5,5,3160.23798255187,2412.60917010946,1,2688.90427750636,3,2,"no",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,124716.124590164
"452",1,256000,3,2008,3,4,3852.58760734703,2741.95705383153,3,7520.99258631246,3,2,"yes",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,205982.833333333
"453",1,161000,1,2008,6,8,3378.41750132013,2744.74444612635,1,2904.43349588508,3,2,"yes",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,124716.124590164
"454",6,110000.000000005,1,2009,7,5,3113.82179193546,2241.23546811935,3,3531.92436398252,3,2,"yes",0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126987.794117647
"455",2,263434.999999995,1,2009,12,8,3708.16226518001,2976.2429909428,5,3791.52415271434,4,4,"yes",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,231775.424528302
"456",0.666666666666667,155000.000000002,3,2009,4,7,2920.13325675965,2151.27189298621,3,3583.1593264897,4,2,"yes",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,142765.432835822
"457",1.33333333333333,62383.0000000011,3,2009,12,5,2951.13411198219,1729.52667663055,1,3858.49082135513,3,2,"yes",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,136902.412935323
