age,education_num,marital_status,occupation,cap_gain,hours_per_week,score,value_flag
19,10,Never-married,Group 3,0,20,61.14,Low
48,9,Divorced,Group 5,0,40,56.66,Low
56,10,Married-civ-spouse,Group NA,0,40,61.42,Low
65,10,Widowed,Group 3,0,35,58.1,Low
40,13,Separated,Group 2,0,35,66.24,Low
26,9,Never-married,Group 2,0,40,63.32,Low
45,10,Married-civ-spouse,Group 5,0,40,62.65,Low
26,10,Never-married,Group 3,0,40,61.73,Low
32,9,Married-civ-spouse,Group 2,0,40,56.4,Low
35,13,Divorced,Group 5,27828,50,59.85,High
22,10,Never-married,Group 3,0,48,61.34,Low
37,11,Separated,Group 5,0,38,54.26,Low
25,13,Never-married,Group 3,0,40,55.01,Low
64,2,Married-civ-spouse,Group 3,0,53,54.9,Low
46,11,Married-civ-spouse,Group 5,0,48,61.72,High
30,9,Never-married,Group 1,0,27,64.47,Low
63,12,Divorced,Group 5,0,40,67.75,High
51,9,Married-civ-spouse,Group 4,0,40,63.77,High
68,4,Married-civ-spouse,Group 5,0,16,57.82,Low
36,16,Married-civ-spouse,Group 5,0,50,54.65,Low
28,10,Never-married,Group 5,0,50,56.87,Low
41,10,Married-civ-spouse,Group 3,0,40,59.6,Low
47,10,Married-civ-spouse,Group 5,0,40,60.36,Low
22,10,Never-married,Group 1,0,30,60.78,Low
33,13,Never-married,Group NA,0,80,63.04,Low
34,15,Married-civ-spouse,Group 5,15024,40,68.08,High
46,13,Married-civ-spouse,Group 5,0,40,57.46,High
28,10,Married-spouse-absent,Group 2,0,40,53.88,Low
36,9,Married-civ-spouse,Group 3,0,52,59.26,High
18,10,Never-married,Group 3,0,20,63.89,Low
33,14,Married-civ-spouse,Group 5,7688,50,53.34,High
51,9,Married-civ-spouse,Group 3,7298,60,62,High
56,9,Married-civ-spouse,Group 5,0,35,63.36,Low
54,9,Never-married,Group 2,0,40,57.88,Low
29,9,Never-married,Group 5,0,40,66.31,Low
40,10,Divorced,Group 1,0,84,58.74,Low
53,14,Married-civ-spouse,Group 5,15024,65,64.92,High
22,9,Never-married,Group 1,0,35,55.69,Low
33,9,Married-civ-spouse,Group 2,0,40,62.69,High
28,9,Divorced,Group 3,0,50,58.83,Low
63,10,Married-civ-spouse,Group 5,0,12,59.79,Low
53,16,Married-civ-spouse,Group 5,15024,60,61.85,High
37,6,Married-civ-spouse,Group 3,0,50,68.2,Low
50,10,Divorced,Group 5,0,40,60.78,Low
22,9,Never-married,Group 3,0,40,52.94,Low
40,12,Never-married,Group 2,0,40,56.19,Low
22,13,Never-married,Group 5,8614,40,60.76,High
21,10,Never-married,Group 5,0,40,58.7,Low
25,12,Married-civ-spouse,Group 1,0,40,60.91,Low
20,10,Never-married,Group 3,0,40,67.57,Low
43,9,Married-civ-spouse,Group 3,0,40,61.86,Low
29,11,Never-married,Group 5,0,50,57.12,Low
32,13,Married-civ-spouse,Group 3,0,40,60.75,High
42,14,Married-civ-spouse,Group 3,0,50,73.63,High
33,9,Married-civ-spouse,Group 2,0,40,70.53,Low
27,10,Married-civ-spouse,Group 5,0,40,63.62,High
22,10,Never-married,Group NA,0,40,60.45,Low
29,10,Married-civ-spouse,Group 2,0,38,59.01,Low
29,9,Married-civ-spouse,Group 3,0,40,61.91,Low
20,10,Never-married,Group 5,0,20,57.29,Low
35,6,Never-married,Group 2,0,40,54.4,Low
31,13,Married-civ-spouse,Group 5,0,50,66.06,High
33,9,Never-married,Group 3,0,50,55.93,Low
67,10,Married-civ-spouse,Group 5,0,40,58.17,Low
46,10,Married-civ-spouse,Group 5,0,10,59.63,Low
45,5,Married-civ-spouse,Group 2,0,40,61.14,High
17,7,Never-married,Group 3,0,20,59.47,Low
35,13,Married-civ-spouse,Group 5,0,70,51.12,High
48,13,Married-spouse-absent,Group 5,0,40,64.31,High
49,9,Divorced,Group 2,0,40,57.79,Low
20,10,Never-married,Group 3,0,40,63.08,Low
27,9,Married-civ-spouse,Group 2,5013,46,72.47,Low
64,10,Married-civ-spouse,Group 3,0,20,59.57,Low
53,10,Separated,Group 3,0,40,57.01,Low
52,9,Divorced,Group 2,0,40,61.01,Low
29,9,Married-civ-spouse,Group 3,0,55,61.54,Low
32,9,Married-civ-spouse,Group 3,99999,40,69.07,High
48,13,Married-civ-spouse,Group 5,0,20,57.94,High
30,10,Never-married,Group 3,0,40,58.49,Low
34,9,Married-civ-spouse,Group 1,0,20,56.75,Low
19,10,Never-married,Group NA,0,50,64.17,Low
39,9,Never-married,Group 5,0,50,60.61,Low
28,7,Never-married,Group 1,0,40,55.68,Low
17,8,Never-married,Group 3,0,10,56.33,Low
54,13,Never-married,Group 5,0,50,63.11,Low
24,10,Never-married,Group 3,0,40,64.22,Low
25,9,Never-married,Group 5,0,40,60.02,Low
25,7,Divorced,Group 1,0,12,58.93,Low
48,10,Married-civ-spouse,Group 5,5178,40,61.23,High
24,13,Never-married,Group 3,0,40,60.32,Low
31,10,Married-civ-spouse,Group 3,0,50,59.74,Low
47,10,Married-civ-spouse,Group 3,0,40,64.56,High
45,13,Married-civ-spouse,Group 5,0,40,63.06,High
19,10,Never-married,Group 2,0,25,61.62,Low
52,10,Married-civ-spouse,Group 3,15024,50,57.24,High
52,9,Married-civ-spouse,Group 2,0,40,56.94,Low
19,9,Never-married,Group NA,0,12,60.2,Low
60,9,Married-civ-spouse,Group 3,0,28,61.31,Low
43,14,Married-civ-spouse,Group 5,0,50,60.97,High
24,12,Divorced,Group 1,0,30,65.79,Low
20,10,Never-married,Group NA,0,40,57.07,Low
51,9,Never-married,Group 2,0,40,58.19,Low
38,5,Divorced,Group 3,0,40,63.12,Low
21,10,Never-married,Group 2,0,10,62.09,Low
40,9,Married-civ-spouse,Group 2,0,50,62.04,High
54,10,Widowed,Group 5,0,40,57.01,Low
35,13,Never-married,Group 1,0,50,53.76,Low
52,7,Separated,Group 2,0,40,63.52,Low
53,9,Married-civ-spouse,Group 5,99999,40,56.7,High
56,10,Widowed,Group NA,0,40,61.74,Low
35,9,Divorced,Group 3,0,40,61.76,Low
43,10,Divorced,Group 3,0,42,54.82,Low
29,13,Married-civ-spouse,Group 3,0,40,60.74,Low
29,9,Married-civ-spouse,Group 3,0,65,60.82,Low
27,9,Never-married,Group 1,0,40,61.31,Low
58,13,Married-civ-spouse,Group 2,0,40,53.51,Low
64,9,Married-civ-spouse,Group 1,0,18,62.52,Low
53,9,Married-civ-spouse,Group 2,0,32,56.46,Low
21,9,Never-married,Group 2,0,30,57.86,Low
40,12,Divorced,Group 5,0,30,62.26,Low
52,16,Married-civ-spouse,Group 5,0,40,60.55,High
38,11,Never-married,Group 4,0,50,62.67,Low
40,10,Divorced,Group NA,0,30,60.32,Low
39,9,Married-civ-spouse,Group 5,0,40,67.59,Low
56,14,Never-married,Group NA,0,50,53.04,High
68,16,Married-civ-spouse,Group 5,0,55,56.96,High
24,9,Never-married,Group 3,0,38,59.15,Low
40,15,Married-civ-spouse,Group 5,0,50,57.5,High
43,15,Married-civ-spouse,Group 5,0,99,56.81,High
38,13,Never-married,Group 5,0,70,60.82,Low
45,9,Married-civ-spouse,Group 3,0,40,65.63,High
18,7,Never-married,Group 2,0,55,61.67,Low
57,14,Married-civ-spouse,Group 5,0,50,59.99,High
49,9,Separated,Group 1,0,35,59.52,Low
25,10,Never-married,Group 5,0,40,56.44,Low
52,10,Divorced,Group 2,0,40,63.92,Low
56,6,Divorced,Group 3,0,56,67.93,Low
26,10,Never-married,Group 3,0,48,65.11,Low
19,9,Never-married,Group 3,0,40,66.2,Low
25,13,Never-married,Group 2,0,40,61.34,Low
25,9,Married-civ-spouse,Group 2,0,30,61.63,Low
21,9,Never-married,Group 3,0,45,57.16,Low
48,4,Married-civ-spouse,Group 3,0,40,53.84,Low
33,14,Married-civ-spouse,Group 5,0,60,63.24,Low
31,9,Divorced,Group 4,0,40,59.64,Low
26,9,Divorced,Group 2,0,65,57.7,Low
37,13,Never-married,Group 5,0,38,58.92,Low
29,10,Divorced,Group NA,0,30,64.46,Low
20,10,Never-married,Group 1,0,20,53.35,Low
28,10,Married-civ-spouse,Group 3,0,60,57.59,Low
49,9,Widowed,Group 2,0,20,59.98,Low
73,6,Never-married,Group NA,0,4,56.11,Low
49,14,Married-civ-spouse,Group 5,0,40,67.89,High
51,10,Married-civ-spouse,Group 5,0,40,56.6,High
40,10,Married-civ-spouse,Group 3,0,40,59.46,Low
24,11,Never-married,Group 2,0,40,63.05,Low
18,8,Never-married,Group 3,0,24,63.53,Low
41,6,Married-civ-spouse,Group 3,0,40,59.23,High
46,9,Married-civ-spouse,Group 2,0,40,62.06,High
46,9,Married-civ-spouse,Group 2,0,40,57.55,Low
64,6,Married-civ-spouse,Group 3,0,40,56.3,High
50,15,Married-civ-spouse,Group 5,0,40,61.06,High
53,14,Married-civ-spouse,Group 5,0,36,66.36,High
21,9,Never-married,Group 3,0,40,63.31,Low
22,10,Married-civ-spouse,Group 1,0,25,67.04,Low
37,13,Divorced,Group 5,7430,45,64.79,High
39,15,Never-married,Group 5,0,55,61.61,High
30,13,Married-civ-spouse,Group 3,0,40,59.45,Low
25,13,Never-married,Group 5,0,40,61.55,Low
26,10,Never-married,Group 5,0,40,60.11,Low
43,13,Never-married,Group 3,0,50,64.37,Low
59,9,Widowed,Group 2,0,60,62.42,Low
27,9,Married-spouse-absent,Group 2,0,40,51.4,Low
55,6,Married-civ-spouse,Group 3,0,40,61.88,High
20,10,Never-married,Group 1,0,12,56.12,Low
25,11,Never-married,Group 5,0,36,57.73,Low
28,12,Separated,Group 1,0,40,62.15,Low
29,13,Never-married,Group 3,0,50,55.71,Low
60,7,Married-civ-spouse,Group 3,0,40,61.45,High
37,13,Married-civ-spouse,Group 5,15024,50,63.12,High
25,7,Divorced,Group 3,0,40,65.32,Low
27,10,Married-civ-spouse,Group 3,0,60,58.75,Low
50,13,Married-civ-spouse,Group 5,0,40,56.62,High
41,10,Married-civ-spouse,Group 2,5013,70,60.45,Low
46,4,Married-civ-spouse,Group 3,0,47,60.58,Low
35,11,Divorced,Group 1,0,40,60.05,Low
21,10,Never-married,Group NA,0,40,59.21,Low
35,7,Separated,Group NA,6849,60,63.19,Low
40,9,Never-married,Group 1,0,40,54.49,Low
49,13,Married-civ-spouse,Group 5,0,40,59.32,High
29,13,Never-married,Group 5,0,50,56.51,Low
43,13,Divorced,Group 5,0,40,61.62,Low
39,12,Never-married,Group 3,0,60,60.82,Low
35,9,Never-married,Group 1,0,60,56.4,Low
52,10,Married-civ-spouse,Group 2,0,40,61.95,Low
25,10,Never-married,Group 1,0,40,66.77,Low
20,9,Never-married,Group 2,0,30,53.47,Low
46,10,Divorced,Group 1,0,10,66.13,Low
24,13,Never-married,Group 5,0,40,58.73,Low
29,13,Married-civ-spouse,Group 3,0,30,55.72,Low
21,10,Never-married,Group 1,0,40,64.14,Low
37,13,Divorced,Group 5,0,50,62.39,Low
43,9,Never-married,Group 2,0,40,58.05,Low
19,9,Never-married,Group 2,0,26,60.41,Low
47,9,Married-civ-spouse,Group 3,0,45,59.48,Low
61,9,Married-civ-spouse,Group 3,0,45,63.13,High
21,12,Never-married,Group NA,0,55,65.04,Low
35,9,Married-civ-spouse,Group 1,0,60,63.37,Low
60,6,Married-civ-spouse,Group 1,0,40,57.12,Low
27,10,Never-married,Group 2,0,40,57.82,Low
57,13,Married-civ-spouse,Group 5,0,35,54.22,Low
56,2,Married-civ-spouse,Group 3,0,40,55.32,Low
27,9,Never-married,Group 5,0,40,59.09,Low
47,4,Married-civ-spouse,Group 2,0,35,60.66,Low
19,9,Never-married,Group 1,0,30,64.4,Low
28,8,Divorced,Group 1,0,30,55.32,Low
43,6,Married-civ-spouse,Group 2,0,40,64.96,Low
63,10,Divorced,Group 5,0,35,55.98,Low
22,10,Never-married,Group NA,0,40,58.42,Low
25,9,Divorced,Group 1,0,40,59.87,Low
35,9,Never-married,Group 2,8614,40,63.92,High
20,9,Never-married,Group 1,0,40,56.49,Low
48,6,Married-civ-spouse,Group 3,0,70,53.16,Low
30,13,Never-married,Group 5,0,40,64.8,Low
31,13,Married-civ-spouse,Group 5,0,40,64.92,High
20,9,Never-married,Group 3,0,24,64.41,Low
57,14,Married-civ-spouse,Group 5,0,50,66.22,High
41,11,Married-civ-spouse,Group 2,7688,44,62.83,High
33,9,Divorced,Group 2,0,40,62.08,Low
27,11,Married-civ-spouse,Group 2,0,40,57.96,Low
34,9,Married-civ-spouse,Group 2,0,60,56.46,High
22,6,Never-married,Group 3,0,30,58.96,Low
50,12,Married-civ-spouse,Group 5,0,40,60.63,High
40,13,Married-civ-spouse,Group 5,0,45,62.64,High
37,9,Married-civ-spouse,Group 3,0,51,59.78,Low
40,12,Divorced,Group NA,0,40,57.65,Low
53,14,Married-civ-spouse,Group 5,15024,55,59.96,High
38,10,Married-civ-spouse,Group 2,7688,40,60.05,High
25,9,Never-married,Group 5,0,40,57.57,Low
51,9,Married-civ-spouse,Group 3,0,40,63.83,Low
22,8,Never-married,Group NA,0,40,58.47,Low
18,10,Never-married,Group 1,0,16,60.44,Low
41,7,Married-civ-spouse,Group 1,7688,40,60.13,High
33,9,Never-married,Group 2,0,40,59.02,Low
33,13,Never-married,Group 3,0,40,58.32,Low
67,10,Married-civ-spouse,Group 3,0,40,58.43,Low
47,9,Married-civ-spouse,Group 5,0,50,61.59,High
24,10,Never-married,Group 2,0,40,61.81,Low
32,4,Married-civ-spouse,Group 1,0,40,65.56,Low
29,9,Never-married,Group 1,0,40,60.63,Low
25,11,Never-married,Group 3,0,45,58.34,Low
33,10,Divorced,Group 2,0,40,59.15,Low
55,13,Married-civ-spouse,Group 3,0,40,56.53,Low
31,10,Married-civ-spouse,Group 3,0,40,53.96,High
32,14,Married-civ-spouse,Group 5,0,50,57.5,Low
18,9,Never-married,Group 4,34095,3,54.41,Low
36,9,Divorced,Group 2,0,50,57.23,Low
58,9,Widowed,Group 2,0,27,62.79,Low
34,14,Married-civ-spouse,Group 5,0,50,61.66,High
19,7,Never-married,Group 1,0,40,56.8,Low
21,9,Never-married,Group 2,0,40,55.38,Low
36,9,Never-married,Group 2,0,50,53.83,Low
37,13,Married-civ-spouse,Group 5,15024,40,65.82,High
43,9,Married-civ-spouse,Group 2,0,21,59.36,Low
52,13,Married-civ-spouse,Group 4,0,40,63.96,Low
48,11,Divorced,Group 1,0,40,58.31,Low
43,10,Divorced,Group 5,0,38,54.43,Low
22,9,Never-married,Group 1,0,40,59.24,Low
57,3,Divorced,Group 3,6497,40,58.71,Low
37,12,Never-married,Group 2,0,40,57.44,Low
39,10,Divorced,Group 3,0,38,59.48,Low
54,10,Married-civ-spouse,Group 3,0,40,65.22,High
27,12,Never-married,Group 1,0,40,60.78,Low
21,9,Never-married,Group 2,0,35,58.75,Low
65,10,Separated,Group 2,0,38,71.55,Low
30,10,Married-civ-spouse,Group 1,0,40,59.64,Low
22,5,Never-married,Group 2,0,40,55.17,Low
26,13,Married-civ-spouse,Group 3,4064,50,64.15,Low
25,7,Separated,Group 3,0,40,56.3,Low
35,11,Married-civ-spouse,Group NA,0,40,56.49,High
47,11,Married-civ-spouse,Group 5,15024,50,68.95,High
23,12,Never-married,Group 1,0,60,67.43,Low
42,9,Married-civ-spouse,Group 3,0,40,59.63,High
39,10,Never-married,Group 3,0,30,59.31,Low
55,16,Married-civ-spouse,Group 5,0,60,60.85,High
24,14,Married-spouse-absent,Group 5,0,10,58.38,Low
46,13,Married-civ-spouse,Group 2,7298,40,61.89,High
53,9,Married-civ-spouse,Group 3,0,40,62.59,High
44,7,Separated,Group 1,0,60,54.21,Low
40,9,Separated,Group 3,0,40,58.26,Low
48,10,Married-civ-spouse,Group 3,7688,40,57.6,High
26,11,Separated,Group 2,0,35,57.73,Low
22,9,Never-married,Group 3,0,40,59.13,Low
35,9,Married-civ-spouse,Group NA,0,12,57.91,Low
20,10,Never-married,Group NA,0,20,57.82,Low
43,9,Divorced,Group 5,0,40,60.85,Low
37,9,Married-civ-spouse,Group 1,0,25,53.72,Low
30,9,Married-civ-spouse,Group 3,0,40,64.73,Low
41,9,Married-civ-spouse,Group 3,0,50,61.76,Low
38,15,Married-civ-spouse,Group 5,0,60,62.62,High
77,5,Married-civ-spouse,Group NA,0,40,63.96,Low
42,9,Married-civ-spouse,Group 2,0,50,59.52,Low
20,9,Never-married,Group 3,0,40,64.44,Low
36,13,Divorced,Group 2,3674,40,63.49,Low
32,11,Never-married,Group 5,0,40,57.35,Low
27,13,Married-civ-spouse,Group 5,0,40,63.23,High
25,10,Divorced,Group 4,0,45,59.42,Low
40,14,Never-married,Group 5,0,40,58.68,Low
18,7,Never-married,Group NA,0,25,59.49,Low
49,13,Married-civ-spouse,Group 5,0,45,61.54,High
17,7,Never-married,Group 1,0,16,58.91,Low
29,9,Never-married,Group 3,0,40,66.15,Low
47,15,Married-civ-spouse,Group 5,99999,55,67.06,High
24,10,Separated,Group 1,0,45,61.63,Low
58,4,Married-civ-spouse,Group NA,0,24,62.48,Low
29,9,Never-married,Group 3,0,40,56.76,Low
45,10,Married-civ-spouse,Group 2,0,24,54.42,High
30,8,Married-civ-spouse,Group 3,0,50,57.2,Low
19,10,Never-married,Group 2,0,20,62.69,Low
59,6,Married-civ-spouse,Group 3,0,40,64.16,High
47,4,Married-spouse-absent,Group 1,0,30,62.41,Low
41,10,Married-civ-spouse,Group 4,3137,40,54.74,Low
28,12,Never-married,Group 5,0,40,55.75,Low
46,12,Married-civ-spouse,Group 3,0,40,63.32,High
40,10,Married-civ-spouse,Group 3,0,60,63.06,Low
66,6,Divorced,Group 1,0,40,63.48,Low
30,13,Never-married,Group 5,14084,45,64.37,High
44,10,Never-married,Group 3,0,12,69.27,Low
58,9,Married-civ-spouse,Group 5,15024,60,56.75,High
21,4,Never-married,Group 1,0,48,61.23,Low
59,5,Widowed,Group 1,0,40,55.74,Low
35,10,Married-civ-spouse,Group 1,0,40,63.17,Low
45,5,Married-civ-spouse,Group 2,5178,40,55.78,High
30,9,Married-civ-spouse,Group 3,0,40,55.41,Low
33,9,Never-married,Group 1,0,40,58.49,Low
26,10,Never-married,Group 3,0,15,58.53,Low
48,10,Separated,Group 3,0,35,66.38,Low
31,9,Never-married,Group 3,0,40,57.97,Low
36,9,Married-civ-spouse,Group 5,0,45,54.16,Low
48,9,Divorced,Group 5,0,38,61.97,Low
30,9,Married-civ-spouse,Group 3,5013,40,56.26,Low
33,9,Married-civ-spouse,Group 1,0,50,60.13,High
19,5,Never-married,Group NA,0,25,54.62,Low
37,12,Married-civ-spouse,Group 5,99999,40,55.28,High
53,13,Married-civ-spouse,Group 5,0,45,60.51,High
18,10,Never-married,Group 1,0,40,55.78,Low
38,10,Married-civ-spouse,Group 3,7298,50,59.81,High
34,10,Never-married,Group 1,0,50,56.56,Low
45,13,Married-civ-spouse,Group 3,0,52,56.82,High
33,11,Married-civ-spouse,Group 5,0,60,59.09,Low
35,11,Married-civ-spouse,Group 3,0,44,55.36,Low
22,9,Never-married,Group 1,0,40,62.62,Low
35,9,Divorced,Group 1,0,30,55.96,Low
45,9,Married-civ-spouse,Group 5,0,8,63.61,Low
17,7,Never-married,Group 2,0,45,58,Low
50,9,Married-civ-spouse,Group 5,0,45,61.36,Low
38,13,Married-civ-spouse,Group 5,0,50,68.55,High
33,10,Married-civ-spouse,Group 3,7298,50,64.49,High
46,9,Married-civ-spouse,Group 3,0,35,64.47,Low
25,13,Never-married,Group 3,6849,50,60.53,Low
64,9,Married-civ-spouse,Group 3,0,40,59.14,Low
62,10,Married-civ-spouse,Group 5,0,10,59.94,Low
32,9,Married-civ-spouse,Group 4,0,60,65.7,High
17,7,Never-married,Group 3,0,20,64.18,Low
61,9,Married-civ-spouse,Group 3,0,55,59.51,Low
40,16,Never-married,Group 5,0,40,59.96,Low
21,9,Never-married,Group 5,0,40,61.5,Low
39,13,Married-civ-spouse,Group 5,15024,50,58.53,High
35,10,Married-civ-spouse,Group 5,0,45,54.79,Low
29,11,Married-civ-spouse,Group 5,0,40,62.73,Low
27,12,Never-married,Group 3,0,40,57.53,Low
20,12,Never-married,Group 2,0,40,60.44,Low
34,10,Married-civ-spouse,Group NA,0,20,64.97,High
51,14,Never-married,Group 5,0,40,54.67,Low
45,9,Separated,Group 2,0,15,63.88,Low
20,10,Never-married,Group NA,0,40,62.8,Low
31,10,Married-civ-spouse,Group 3,0,40,62.97,Low
29,9,Never-married,Group 4,0,40,62.28,Low
56,13,Married-civ-spouse,Group 2,0,30,62.54,Low
55,10,Divorced,Group 4,0,12,65.4,High
26,10,Never-married,Group 4,0,20,64.72,Low
46,10,Married-civ-spouse,Group 3,15024,45,57.13,High
32,9,Married-civ-spouse,Group 1,0,40,64.46,Low
28,9,Married-civ-spouse,Group 3,0,40,66.82,Low
27,4,Never-married,Group 1,0,35,56.58,Low
23,5,Married-spouse-absent,Group 3,0,40,56.88,Low
59,6,Married-civ-spouse,Group 3,0,40,60.38,Low
26,8,Never-married,Group 3,0,48,57.34,Low
36,6,Never-married,Group 1,0,40,54.04,Low
18,9,Never-married,Group 3,0,15,56.63,Low
33,5,Divorced,Group 1,0,70,53.38,Low
60,11,Married-civ-spouse,Group 3,0,15,54.42,High
40,9,Divorced,Group 2,0,48,55.55,Low
48,9,Married-civ-spouse,Group 2,0,43,59.1,Low
27,6,Married-civ-spouse,Group 3,0,48,57.57,Low
19,10,Never-married,Group 1,0,20,61.7,Low
38,13,Married-civ-spouse,Group 5,0,50,57.2,High
26,10,Divorced,Group 3,0,43,62.23,Low
45,11,Married-civ-spouse,Group 4,3908,40,61.39,Low
20,10,Never-married,Group 2,0,20,56,Low
32,9,Divorced,Group 3,0,40,61.19,Low
22,10,Never-married,Group 1,0,13,57.53,Low
22,9,Never-married,Group 2,0,40,61.24,Low
38,9,Never-married,Group 1,114,38,55.04,Low
34,9,Married-civ-spouse,Group 3,0,50,59.07,High
46,2,Widowed,Group 1,0,30,65.36,Low
39,13,Divorced,Group 5,0,25,60.6,Low
79,9,Widowed,Group 1,0,24,54.69,Low
60,13,Married-civ-spouse,Group NA,0,8,60.23,High
24,9,Never-married,Group 3,0,40,58.15,Low
31,10,Married-civ-spouse,Group 3,2407,65,61.79,Low
37,13,Married-civ-spouse,Group 3,3137,77,57.15,Low
23,9,Never-married,Group 3,0,40,62.36,Low
31,10,Married-civ-spouse,Group 3,0,45,62.83,Low
29,13,Married-civ-spouse,Group 5,0,40,65.31,High
22,13,Never-married,Group 5,0,43,62.99,Low
69,10,Widowed,Group NA,0,20,64.26,Low
55,9,Divorced,Group 1,0,38,60.29,Low
43,9,Divorced,Group 3,0,40,60.56,Low
23,4,Never-married,Group 2,0,36,59.68,Low
29,9,Never-married,Group 2,0,35,60.86,Low
22,11,Never-married,Group 1,0,40,60.68,Low
22,10,Never-married,Group 3,0,42,59.85,Low
25,9,Married-civ-spouse,Group 5,7298,84,59.48,High
29,10,Never-married,Group 2,0,45,67.66,Low
25,10,Never-married,Group 3,0,40,55.82,Low
33,9,Never-married,Group 5,0,40,54.7,Low
33,13,Never-married,Group 5,0,40,60.19,High
31,16,Never-married,Group 5,0,28,62.81,Low
30,14,Married-civ-spouse,Group 5,0,45,58.87,High
55,13,Married-civ-spouse,Group 3,0,40,58.11,Low
36,8,Never-married,Group 5,4650,50,59.66,Low
47,9,Widowed,Group NA,0,40,63.23,Low
28,13,Never-married,Group 3,8614,40,55.17,High
42,14,Married-civ-spouse,Group 5,0,40,62.35,High
51,12,Divorced,Group 5,0,55,54.95,Low
62,13,Divorced,Group 5,0,40,60.23,Low
65,10,Married-civ-spouse,Group 3,0,35,64.92,High
23,13,Married-civ-spouse,Group 5,0,40,60.07,Low
60,9,Married-civ-spouse,Group NA,0,32,62.25,Low
47,4,Married-civ-spouse,Group 3,0,60,62.38,High
50,9,Divorced,Group 5,0,40,60.67,Low
70,13,Married-civ-spouse,Group NA,0,6,64.14,Low
32,13,Married-civ-spouse,Group 3,0,40,52.19,Low
37,10,Married-civ-spouse,Group 2,0,40,57.3,Low
31,9,Never-married,Group 3,14344,40,62.73,High
76,6,Widowed,Group 3,0,12,62.92,Low
54,13,Divorced,Group 3,0,60,63.55,Low
32,13,Married-civ-spouse,Group 5,0,40,63.65,High
31,10,Never-married,Group 2,0,52,58.08,Low
31,13,Divorced,Group 4,0,50,61.74,High
65,15,Divorced,Group 5,0,40,61.5,Low
30,9,Married-civ-spouse,Group 2,0,60,58.03,High
63,9,Married-civ-spouse,Group NA,0,40,62.86,Low
21,10,Never-married,Group 5,0,10,64.96,Low
40,14,Married-civ-spouse,Group 4,0,40,60.31,High
26,10,Never-married,Group 3,0,40,63.79,Low
18,7,Never-married,Group 1,0,8,58.21,Low
34,9,Married-civ-spouse,Group 1,0,50,54.1,Low
66,10,Divorced,Group 1,7896,40,65.75,High
44,10,Never-married,Group 2,0,60,59.01,Low
30,12,Never-married,Group 4,0,40,57.89,Low
36,13,Never-married,Group 3,0,40,66.15,Low
31,10,Married-civ-spouse,Group 5,0,50,64.31,High
22,10,Never-married,Group 3,0,20,64.23,Low
28,4,Divorced,Group NA,0,84,63.85,Low
23,9,Never-married,Group 3,0,40,64.52,Low
49,14,Married-civ-spouse,Group 5,15024,50,63.2,High
39,13,Separated,Group 3,0,35,61.36,Low
67,13,Married-civ-spouse,Group NA,9386,60,55.98,High
19,10,Never-married,Group 1,0,16,55.32,Low
30,12,Married-civ-spouse,Group 5,0,50,62.98,High
25,10,Never-married,Group 3,0,40,55.56,Low
24,9,Never-married,Group 3,0,30,58.92,Low
46,9,Married-civ-spouse,Group 2,0,40,59.66,Low
37,14,Married-civ-spouse,Group 5,0,45,64.03,Low
41,9,Married-civ-spouse,Group 1,0,40,63.83,Low
40,10,Married-civ-spouse,Group 5,0,20,56.04,Low
44,9,Divorced,Group 2,0,40,54.02,Low
32,9,Married-civ-spouse,Group 2,0,40,57.47,Low
58,9,Married-civ-spouse,Group 1,0,20,57.05,High
48,9,Married-civ-spouse,Group 2,0,48,55.37,Low
34,13,Married-civ-spouse,Group 5,0,40,62.93,Low
29,11,Never-married,Group 2,0,40,54.15,Low
46,13,Married-civ-spouse,Group 3,0,50,58.66,High
36,9,Never-married,Group 3,0,40,61.73,Low
59,13,Never-married,Group 2,0,38,55.82,Low
29,8,Married-civ-spouse,Group 3,0,40,53.74,Low
50,14,Never-married,Group NA,0,40,67.9,Low
25,9,Married-civ-spouse,Group 2,0,40,61.16,Low
27,12,Never-married,Group 1,0,35,61.02,Low
48,9,Married-civ-spouse,Group 2,0,70,63.41,Low
51,16,Never-married,Group 5,0,70,59.06,High
36,9,Divorced,Group 3,8614,45,72.89,High
42,7,Divorced,Group 3,7430,50,59.01,High
49,13,Married-civ-spouse,Group 2,0,40,60.22,High
33,10,Never-married,Group 4,0,20,50.58,Low
40,13,Divorced,Group 3,0,60,64.52,High
26,13,Never-married,Group 5,0,40,60.9,Low
69,9,Divorced,Group NA,0,40,66.05,High
59,9,Married-civ-spouse,Group 2,0,30,59.56,Low
30,9,Never-married,Group 2,0,40,54.1,Low
31,12,Married-civ-spouse,Group 2,0,35,65.36,Low
30,13,Married-civ-spouse,Group 5,0,50,57.83,High
27,13,Never-married,Group 5,0,40,66.21,Low
20,10,Never-married,Group NA,0,16,64.43,Low
56,12,Divorced,Group 2,4101,40,57.72,Low
24,9,Married-civ-spouse,Group 2,0,40,59.65,Low
47,13,Divorced,Group 3,0,50,55.61,Low
51,13,Never-married,Group 5,0,35,49.82,Low
34,9,Married-civ-spouse,Group 3,0,45,59.02,Low
47,9,Divorced,Group 1,0,9,57.12,Low
47,10,Married-civ-spouse,Group 2,0,44,66.55,High
20,10,Never-married,Group 2,0,40,60.48,Low
34,9,Married-civ-spouse,Group 3,0,54,65.97,High
