pedestrians,weather,temperature,precipitation,hour,weekday,temp_forecast
2097,clear-day,78,0,12,Thursday,75.82352941
3115,partly-cloudy-day,79,0,16,Saturday,74.05882353
19,partly-cloudy-night,43,0,20,Saturday,46.47058824
1428,partly-cloudy-day,46,0.0024,16,Thursday,40.41176471
1971,partly-cloudy-day,63,0,12,Tuesday,62.52941176
1861,clear-day,52,0,10,Tuesday,56.64705882
17,cloudy,36,0.0128,21,Saturday,34.52941176
1488,partly-cloudy-day,82,0,20,Monday,78.47058824
2468,clear-day,44,0,15,Saturday,38.94117647
1608,partly-cloudy-day,47,0,12,Sunday,42.29411765
1919,clear-day,57,0,12,Tuesday,50.58823529
2656,clear-day,46,0,14,Saturday,40.35294118
112,rain,66,0.008,7,Thursday,71.64705882
1,clear-night,14,0,6,Saturday,26.52941176
2039,clear-day,77,0,11,Sunday,75.76470588
141,rain,45,0.0215,19,Tuesday,46.47058824
2355,partly-cloudy-day,82,0,16,Friday,77.47058824
48,rain,61,0.2563,20,Wednesday,61.52941176
816,cloudy,54,0,12,Friday,55.35294118
2708,partly-cloudy-day,77,0,18,Saturday,73.35294118
150,rain,47,0.0882,13,Sunday,46.94117647
1649,clear-day,48,0,12,Friday,44
813,partly-cloudy-day,29,0,12,Thursday,28.29411765
3009,partly-cloudy-day,80,0,15,Sunday,74.58823529
1264,partly-cloudy-day,82,0,14,Wednesday,75.29411765
1288,clear-day,31,0,14,Tuesday,27.47058824
2906,partly-cloudy-day,81,0,17,Saturday,76
1848,partly-cloudy-day,86,0,11,Saturday,81.23529412
11,cloudy,52,0,18,Saturday,50.58823529
414,cloudy,49,0,9,Thursday,45.35294118
3412,partly-cloudy-day,75,0,14,Sunday,71
47,clear-night,43,0,21,Saturday,46.23529412
544,partly-cloudy-night,64,0,18,Sunday,61.47058824
335,clear-night,44,0,17,Friday,40.17647059
113,clear-day,27,0,7,Tuesday,31.52941176
1851,partly-cloudy-day,48,0,13,Sunday,42.29411765
1041,partly-cloudy-day,76,0,9,Sunday,79.94117647
745,clear-day,27,0,12,Monday,26.64705882
1902,partly-cloudy-day,80,0,17,Tuesday,74.58823529
62,cloudy,69,0,6,Monday,71.76470588
182,cloudy,69,0,8,Tuesday,70.17647059
841,cloudy,51,0,10,Monday,49.47058824
1038,cloudy,35,0,14,Monday,33.82352941
1677,partly-cloudy-day,81,0,12,Thursday,78.70588235
537,clear-day,19,0,10,Thursday,21.58823529
1563,partly-cloudy-day,74,0,19,Friday,68.11764706
93,partly-cloudy-night,71,0,21,Sunday,70.88235294
1107,clear-day,48,0,10,Thursday,52.35294118
2677,partly-cloudy-day,62,0,13,Monday,59.05882353
2152,clear-day,36,0,12,Saturday,35
3347,partly-cloudy-day,57,0,15,Saturday,55.58823529
94,cloudy,40,0,6,Saturday,54.88235294
104,cloudy,68,0,6,Tuesday,70.17647059
2860,clear-day,75,0,15,Sunday,69.70588235
896,cloudy,35,0,17,Friday,32.17647059
68,clear-night,81,0,21,Monday,79.82352941
2564,partly-cloudy-day,83,0,17,Saturday,79
22,partly-cloudy-night,44,0,20,Saturday,43.64705882
1909,cloudy,57,0,15,Friday,52.94117647
2649,partly-cloudy-day,61,0,14,Thursday,55.17647059
1206,clear-day,36,0,13,Thursday,33
2736,partly-cloudy-day,51,0,17,Saturday,46.35294118
1374,clear-day,55,0,10,Wednesday,60.23529412
2246,partly-cloudy-day,80,0,11,Saturday,80.41176471
1,partly-cloudy-night,33,0,20,Friday,33.82352941
2990,clear-day,82,0,15,Saturday,72.94117647
441,clear-night,55,0,20,Saturday,55.58823529
2338,cloudy,60,0.0051,13,Saturday,59.88235294
41,partly-cloudy-night,31,0,18,Wednesday,31.70588235
1863,partly-cloudy-day,70,0,13,Friday,70.11764706
174,rain,70,0.014,7,Monday,73.35294118
1450,partly-cloudy-day,37,0.0013,16,Friday,33.05882353
468,rain,55,0.0138,16,Thursday,55.58823529
2658,cloudy,73,0,12,Saturday,70.76470588
52,rain,69,0.1017,6,Tuesday,72.23529412
566,clear-day,39,0,9,Monday,46.88235294
1885,cloudy,64,0,12,Thursday,61.47058824
1818,clear-day,84,0,11,Tuesday,80.58823529
504,cloudy,71,0.002,20,Tuesday,70.58823529
1221,partly-cloudy-day,43,0,17,Tuesday,38.88235294
14,clear-night,59,0,19,Monday,59.05882353
2648,clear-day,39,0,16,Saturday,35.29411765
129,clear-night,48,0,18,Thursday,43.64705882
263,partly-cloudy-day,68,0,7,Wednesday,62.29411765
513,partly-cloudy-day,43,0,9,Tuesday,52.05882353
2143,partly-cloudy-day,75,0,11,Saturday,75.11764706
1426,partly-cloudy-day,88,0,13,Friday,82.82352941
189,clear-day,64,0,6,Friday,74.70588235
105,cloudy,31,0,7,Sunday,38.29411765
283,rain,48,0.0758,19,Tuesday,48.58823529
2034,partly-cloudy-day,60,0,16,Wednesday,53.88235294
1021,partly-cloudy-day,49,0,18,Sunday,51.94117647
2874,partly-cloudy-day,80,0,16,Saturday,75.11764706
253,partly-cloudy-day,74,0.0012,7,Thursday,73.41176471
1819,partly-cloudy-day,70,0,18,Wednesday,68.17647059
487,clear-day,25,0,9,Tuesday,27.47058824
22,rain,49,0.0326,19,Thursday,51.35294118
203,partly-cloudy-day,40,0,7,Wednesday,42.94117647
41,cloudy,65,0,19,Thursday,62.88235294
704,clear-day,44,0,9,Sunday,43.11764706
1524,clear-day,82,0,20,Friday,80.94117647
796,cloudy,73,0,11,Tuesday,77
780,clear-day,46,0,9,Sunday,47.94117647
36,cloudy,40,0.0021,17,Monday,39.17647059
106,rain,34,0.001,16,Sunday,33.23529412
2772,clear-day,82,0,12,Sunday,76.29411765
168,clear-night,63,0,6,Wednesday,66.05882353
1,clear-night,67,0,22,Wednesday,68.88235294
494,rain,61,0.0127,18,Friday,63.17647059
11,cloudy,44,0,21,Tuesday,44.52941176
1201,cloudy,73,0,18,Monday,72.23529412
1281,partly-cloudy-day,42,0,16,Tuesday,38.88235294
427,cloudy,48,0.0061,16,Monday,46.64705882
1062,cloudy,44,0,14,Wednesday,41.11764706
66,cloudy,59,0,20,Sunday,59.05882353
1954,partly-cloudy-day,84,0,11,Saturday,80.76470588
2345,partly-cloudy-day,60,0,18,Thursday,55.52941176
33,rain,56,0.0804,6,Sunday,53.64705882
942,partly-cloudy-night,59,0,18,Saturday,57.76470588
136,clear-day,36,0,7,Sunday,51.29411765
784,partly-cloudy-day,44,0,9,Monday,46.41176471
1941,rain,81,0.04,19,Saturday,80.76470588
265,clear-day,27,0,8,Thursday,31.11764706
681,clear-day,47,0,9,Friday,50.41176471
5,cloudy,54,0,6,Tuesday,57.29411765
158,clear-day,66,0,6,Monday,75.70588235
513,cloudy,68,0,9,Wednesday,67.58823529
215,cloudy,61,0,7,Monday,67.88235294
1488,partly-cloudy-day,59,0,15,Tuesday,56.17647059
2060,clear-day,70,0,18,Friday,67.29411765
13,cloudy,33,0,20,Tuesday,33.64705882
1844,clear-day,72,0,18,Tuesday,66.11764706
2150,partly-cloudy-day,80,0,18,Friday,77.47058824
1560,partly-cloudy-day,47,0,15,Tuesday,42.23529412
1052,partly-cloudy-day,42,3.00E-04,10,Thursday,39.64705882
156,partly-cloudy-night,46,0,7,Thursday,45.35294118
1904,clear-day,68,0,18,Thursday,61.88235294
1381,clear-day,83,0,20,Monday,79.82352941
3406,partly-cloudy-day,44,0,14,Tuesday,41.23529412
27,partly-cloudy-night,29,0,19,Sunday,27.88235294
160,clear-night,37,0,17,Saturday,36.11764706
12,cloudy,41,0,19,Sunday,38.70588235
64,clear-night,44,0,18,Thursday,40.41176471
13,partly-cloudy-night,36,0,20,Friday,33.05882353
1757,partly-cloudy-day,72,0,11,Wednesday,68.17647059
5,partly-cloudy-night,59,0,21,Sunday,61.47058824
1456,partly-cloudy-day,58,0,18,Thursday,60.88235294
2762,partly-cloudy-day,86,0,14,Sunday,79.94117647
46,rain,50,0.0476,7,Sunday,46.94117647
527,partly-cloudy-day,66,0,9,Friday,63.17647059
1470,clear-day,28,0,11,Saturday,29.23529412
386,cloudy,49,0,19,Monday,49.47058824
8,clear-night,59,0,20,Friday,57.58823529
161,cloudy,58,0,6,Thursday,61.47058824
3629,partly-cloudy-day,64,0,16,Sunday,59.05882353
2132,partly-cloudy-day,63,0,13,Wednesday,60.23529412
11,cloudy,58,0,6,Wednesday,61.11764706
2521,clear-day,64,0,11,Monday,60.70588235
56,partly-cloudy-night,46,0,20,Sunday,45.70588235
73,clear-night,28,0,6,Wednesday,29.11764706
300,partly-cloudy-night,32,0,17,Thursday,31.76470588
27,cloudy,36,0.001,20,Saturday,34.52941176
21,partly-cloudy-night,54,0,6,Tuesday,50.47058824
263,rain,74,0.048,20,Thursday,77.11764706
3,partly-cloudy-night,46,0,22,Sunday,45.70588235
1006,clear-day,34,0,9,Saturday,35
1442,clear-day,30,0,13,Friday,27.88235294
133,rain,41,0.0205,8,Friday,43.47058824
204,clear-day,21,0,8,Friday,25.70588235
523,rain,67,0.0291,17,Monday,65.11764706
160,cloudy,72,0,6,Wednesday,75.94117647
77,partly-cloudy-night,78,0,21,Saturday,79.29411765
1351,partly-cloudy-day,87,0,20,Sunday,83.58823529
2072,partly-cloudy-day,42,0,12,Thursday,40.17647059
836,cloudy,55,0.0028,16,Wednesday,54.70588235
65,partly-cloudy-night,37,0,20,Wednesday,34.41176471
2224,partly-cloudy-day,73,0,18,Friday,71.23529412
1131,partly-cloudy-day,74,0,19,Monday,72.11764706
16,clear-night,43,0,21,Saturday,43.64705882
118,clear-day,14,0,8,Tuesday,23.29411765
426,cloudy,65,0,8,Tuesday,73
1355,partly-cloudy-day,83,0,16,Tuesday,77
47,clear-night,25,0,6,Saturday,27.94117647
112,partly-cloudy-night,30,0,7,Saturday,34.52941176
115,cloudy,70,0.003,21,Tuesday,70.58823529
1765,partly-cloudy-day,62,0,15,Thursday,61.47058824
105,cloudy,54,0,6,Thursday,60.88235294
3151,clear-day,72,0,13,Saturday,67.11764706
13,partly-cloudy-night,44,0,20,Tuesday,44.52941176
3723,cloudy,53,0,14,Friday,49.47058824
101,clear-night,33,0,6,Friday,35.41176471
3186,clear-day,75,0,15,Saturday,67.11764706
2078,partly-cloudy-day,84,0,18,Friday,79.58823529
1159,partly-cloudy-day,79,0,10,Monday,81.11764706
1909,clear-day,41,0,16,Sunday,36
2823,partly-cloudy-day,82,0,15,Sunday,75.82352941
10,partly-cloudy-night,66,0,22,Tuesday,71
38,partly-cloudy-night,24,0,6,Tuesday,34.88235294
77,cloudy,72,0,20,Sunday,70.88235294
1962,partly-cloudy-day,86,0,15,Wednesday,81.35294118
121,clear-night,80,0,21,Friday,80.94117647
1144,cloudy,72,0.0102,15,Wednesday,71.35294118
1,clear-night,20,0,6,Saturday,28.11764706
1716,cloudy,65,0,15,Wednesday,62.29411765
950,rain,57,0.0217,14,Sunday,52.58823529
1023,partly-cloudy-day,38,0,11,Tuesday,38.88235294
71,clear-night,31,0,21,Thursday,31.11764706
2673,partly-cloudy-day,76,0,15,Sunday,70.88235294
108,partly-cloudy-night,50,0,6,Thursday,55.52941176
1673,cloudy,74,0,16,Tuesday,70.58823529
8,cloudy,34,0,22,Friday,32.17647059
902,cloudy,70,0.0021,14,Thursday,67.58823529
268,partly-cloudy-day,63,0,7,Sunday,71
1241,cloudy,46,0,16,Tuesday,44.23529412
31,partly-cloudy-night,38,0,22,Sunday,43.11764706
1675,partly-cloudy-day,78,0,11,Wednesday,75.94117647
830,clear-day,28,0,13,Monday,26.64705882
135,cloudy,41,0,18,Wednesday,37.58823529
15,rain,39,0.016,20,Monday,39.17647059
1541,partly-cloudy-day,61,0,11,Tuesday,60.58823529
1260,clear-day,35,4.00E-04,13,Tuesday,33
1080,cloudy,56,0,10,Tuesday,53.70588235
422,clear-day,56,0,8,Friday,68.82352941
2632,partly-cloudy-day,81,0.048,16,Saturday,80.76470588
1714,clear-day,60,0,13,Monday,53.11764706
90,cloudy,53,0,6,Sunday,58.64705882
1081,partly-cloudy-day,50,0,13,Friday,43.47058824
419,cloudy,64,0.0127,12,Monday,65.11764706
497,rain,51,0.0089,13,Friday,46.88235294
2264,partly-cloudy-day,44,0,13,Friday,40.17647059
322,cloudy,42,0.0145,10,Sunday,44.35294118
277,clear-day,42,0,9,Wednesday,41.11764706
1741,partly-cloudy-day,76,0,19,Monday,73.35294118
2240,partly-cloudy-day,47,0,12,Sunday,43.11764706
2511,clear-day,73,0,11,Saturday,71.52941176
2268,partly-cloudy-day,74,0,19,Thursday,75.52941176
2380,cloudy,67,0,12,Sunday,66.23529412
1192,cloudy,47,0,12,Tuesday,46.47058824
2498,partly-cloudy-day,80,0,14,Thursday,75.52941176
347,partly-cloudy-day,20,0,17,Friday,16.35294118
820,partly-cloudy-day,65,0,19,Friday,64.94117647
2530,cloudy,61,0,17,Monday,59.05882353
618,partly-cloudy-day,63,0,9,Monday,67.88235294
166,rain,47,0.1691,18,Monday,46.64705882
1913,partly-cloudy-day,76,0,16,Tuesday,71.88235294
260,partly-cloudy-day,71,0,7,Sunday,79.94117647
222,rain,43,0.0188,10,Sunday,42.05882353
922,cloudy,71,0,10,Tuesday,71.88235294
76,cloudy,49,0,6,Saturday,58
1031,clear-day,87,0,12,Wednesday,80.76470588
25,rain,33,0.004,17,Tuesday,33.64705882
155,rain,63,0.0098,16,Friday,63.17647059
81,partly-cloudy-night,42,0,18,Sunday,40.29411765
1943,clear-day,51,0,12,Monday,46.41176471
190,clear-day,73,0,6,Wednesday,77.35294118
128,clear-night,38,0,18,Monday,37.76470588
209,partly-cloudy-day,71,0,6,Saturday,79.29411765
1086,partly-cloudy-day,64,0,10,Wednesday,63.94117647
120,clear-night,81,0,21,Tuesday,80.94117647
1315,cloudy,55,0,16,Wednesday,52.70588235
20,cloudy,35,7.00E-04,20,Monday,34.47058824
1902,clear-day,79,0,11,Friday,77.47058824
1733,partly-cloudy-day,89,0,18,Monday,84.88235294
2381,cloudy,55,0,11,Sunday,52.58823529
16,clear-night,39,3.00E-04,20,Wednesday,37.11764706
47,partly-cloudy-night,37,0,21,Wednesday,34.41176471
1820,partly-cloudy-day,75,0,11,Sunday,74.76470588
189,clear-day,33,0,7,Wednesday,39.64705882
1797,partly-cloudy-day,84,0,18,Tuesday,81.23529412
2120,partly-cloudy-day,52,0,12,Sunday,47.94117647
101,partly-cloudy-day,59,0,6,Sunday,69.70588235
16,cloudy,62,0,21,Wednesday,61.11764706
57,partly-cloudy-night,37,0,6,Sunday,37.35294118
53,rain,45,0.042,19,Thursday,44.70588235
127,clear-night,77,0,19,Tuesday,73
289,clear-night,57,0,17,Tuesday,56.17647059
569,clear-day,38,0,9,Friday,44
3062,partly-cloudy-day,86,0,15,Saturday,79
115,partly-cloudy-night,46,0,7,Saturday,46.47058824
565,cloudy,77,0.0505,16,Wednesday,75.94117647
399,cloudy,67,0,20,Wednesday,67.58823529
27,clear-night,26,0,6,Wednesday,34.41176471
1116,cloudy,47,2.00E-04,15,Sunday,44.35294118
23,clear-night,30,0,6,Wednesday,37.58823529
81,clear-night,53,0,21,Saturday,52.35294118
139,partly-cloudy-night,68,0,6,Monday,72.11764706
635,clear-night,73,0,19,Friday,68.82352941
3333,clear-day,65,0,16,Saturday,54.88235294
1575,partly-cloudy-day,87,0,16,Wednesday,82.05882353
173,cloudy,58,0,6,Wednesday,62.58823529
2393,partly-cloudy-day,81,0,14,Wednesday,76.88235294
7,clear-night,65,0,20,Monday,64.94117647
2549,partly-cloudy-day,43,0,13,Thursday,40.41176471
180,clear-day,23,0,8,Friday,27.88235294
4,cloudy,42,0.0041,6,Saturday,43.64705882
4,partly-cloudy-night,60,0,21,Tuesday,60.58823529
72,cloudy,55,0.0036,17,Tuesday,53.70588235
16,rain,60,0.1394,22,Tuesday,58.17647059
403,partly-cloudy-night,79,0,20,Monday,81.11764706
448,clear-day,46,0,19,Thursday,44.41176471
1052,clear-day,39,0,11,Thursday,40.41176471
278,partly-cloudy-day,42,0,8,Thursday,48.58823529
916,rain,74,0.044,20,Thursday,71.64705882
2041,partly-cloudy-day,90,0,16,Saturday,81.23529412
125,partly-cloudy-night,52,0,6,Saturday,55.58823529
339,partly-cloudy-night,57,0,20,Sunday,58.64705882
1851,partly-cloudy-day,68,0,16,Friday,60.58823529
113,partly-cloudy-night,15,0,18,Wednesday,20.05882353
133,clear-night,63,0,6,Sunday,74.58823529
4,clear-night,43,0,20,Tuesday,42.23529412
115,clear-night,47,0,6,Wednesday,53.88235294
1048,partly-cloudy-day,71,0,10,Thursday,69.70588235
12,clear-night,38,0,21,Wednesday,39.64705882
15,rain,70,0.059,22,Tuesday,66.41176471
1712,clear-day,81,0,20,Sunday,77.47058824
369,rain,54,0.1423,13,Friday,55.35294118
52,clear-night,30,0,6,Saturday,36.82352941
205,clear-day,72,0,7,Sunday,83.58823529
268,partly-cloudy-day,53,0,8,Monday,49.47058824
414,clear-day,60,0,8,Friday,67.29411765
1386,partly-cloudy-day,79,0,10,Friday,78.76470588
603,cloudy,61,0.0043,10,Thursday,64.29411765
96,partly-cloudy-night,81,0,20,Wednesday,79.52941176
39,clear-night,45,0,6,Thursday,58.23529412
822,cloudy,38,0.007,15,Wednesday,37.29411765
26,clear-night,28,0,6,Sunday,40.29411765
53,cloudy,41,0,6,Tuesday,44.23529412
2198,clear-day,66,0,13,Tuesday,62.52941176
261,clear-day,61,0,7,Monday,67.41176471
390,cloudy,69,0,8,Monday,72.23529412
1237,cloudy,37,0.0082,11,Monday,35.94117647
1974,partly-cloudy-day,34,0,16,Saturday,29.23529412
1603,partly-cloudy-day,65,0,17,Friday,56.76470588
18,clear-night,74,0,22,Monday,76
949,partly-cloudy-day,60,0,9,Monday,59
5,clear-night,46,0,22,Wednesday,49.76470588
607,clear-day,81,0,9,Tuesday,85.11764706
25,partly-cloudy-night,57,0,21,Thursday,55.52941176
4,clear-night,26,0,22,Monday,26.82352941
1450,partly-cloudy-day,82,0,15,Wednesday,74.35294118
2807,partly-cloudy-day,67,0,17,Tuesday,65.35294118
1788,partly-cloudy-day,80,0,19,Wednesday,76.88235294
295,partly-cloudy-day,41,0,8,Friday,39.64705882
780,cloudy,53,9.00E-04,14,Saturday,50.58823529
516,cloudy,43,0,9,Thursday,46.11764706
31,cloudy,29,0,19,Wednesday,28.05882353
218,partly-cloudy-night,40,0,19,Wednesday,39.64705882
2500,partly-cloudy-day,64,0,11,Friday,59.64705882
61,cloudy,41,2.00E-04,22,Thursday,41.47058824
104,clear-night,64,0,21,Thursday,65.82352941
7,clear-night,27,0,21,Saturday,27.94117647
426,clear-day,74,0,8,Tuesday,83.47058824
28,cloudy,39,0,6,Thursday,41.47058824
264,clear-day,61,0,7,Sunday,75.76470588
1631,partly-cloudy-day,84,0,19,Thursday,82.17647059
14,clear-night,67,0,22,Tuesday,68.41176471
1026,cloudy,49,3.00E-04,11,Friday,50.94117647
1881,clear-day,57,0,10,Monday,59.05882353
317,partly-cloudy-day,69,0,7,Wednesday,79.52941176
186,cloudy,33,0.0176,8,Wednesday,34.70588235
1299,partly-cloudy-day,64,0,9,Friday,67.58823529
2170,clear-day,74,0,11,Sunday,70.88235294
692,clear-day,54,0,9,Tuesday,57.58823529
2161,partly-cloudy-day,71,0,14,Friday,70.11764706
2169,partly-cloudy-day,71,0,15,Tuesday,66.58823529
5,clear-night,36,0,20,Friday,35.70588235
81,clear-night,64,0,21,Wednesday,66.05882353
343,clear-day,38,0,9,Monday,46.05882353
169,partly-cloudy-night,63,0,6,Sunday,70.29411765
195,clear-night,34,2.00E-04,7,Saturday,35
2,clear-night,41,0,21,Sunday,42.05882353
431,partly-cloudy-day,71,0,8,Monday,72.41176471
2592,clear-day,60,0,16,Wednesday,54.58823529
4,cloudy,38,0,22,Sunday,38.29411765
45,clear-night,54,0,21,Saturday,55.58823529
2810,clear-day,83,0,16,Saturday,72.94117647
2892,partly-cloudy-day,78,0,12,Saturday,74.05882353
13,cloudy,64,0,22,Monday,64.82352941
1736,clear-day,59,0,17,Thursday,52.35294118
347,partly-cloudy-day,58,0,7,Wednesday,63.94117647
186,fog,27,0.0106,13,Tuesday,30.58823529
1,clear-day,22,0,10,Saturday,26.52941176
669,clear-day,40,0.0087,10,Wednesday,37.29411765
1640,clear-day,31,0,16,Saturday,27.94117647
50,partly-cloudy-night,58,0,21,Tuesday,56.64705882
137,clear-day,20,0,7,Tuesday,27.47058824
1608,clear-day,81,0,10,Sunday,83.58823529
387,clear-day,43,0,8,Sunday,47.94117647
1011,partly-cloudy-day,32,0,11,Tuesday,31.52941176
45,clear-night,30,0,20,Thursday,27.41176471
444,partly-cloudy-day,66,0,8,Monday,71.05882353
13,rain,39,0.0172,21,Friday,39.64705882
167,partly-cloudy-day,38,0,7,Friday,41.35294118
286,clear-day,71,0,7,Tuesday,80.58823529
1180,clear-day,76,0,10,Friday,78.29411765
4,clear-day,84,0,18,Thursday,81.29411765
12,cloudy,43,0,19,Tuesday,41.23529412
1028,partly-cloudy-day,31,0,14,Sunday,27.88235294
10,clear-night,25,0,20,Friday,25.70588235
10,clear-night,39,0,19,Saturday,38.94117647
1461,partly-cloudy-day,79,0,11,Monday,80.35294118
10,clear-night,49,0,22,Tuesday,52.05882353
770,clear-day,34,0,13,Tuesday,30.05882353
27,rain,69,0.077,6,Tuesday,70.58823529
1367,partly-cloudy-day,83,0,11,Wednesday,80.70588235
1995,partly-cloudy-day,88,0,16,Sunday,80.88235294
678,clear-day,26,0,10,Thursday,27.41176471
84,clear-night,77,0,21,Saturday,79.17647059
2486,clear-day,42,0,14,Sunday,36
72,clear-night,29,0,22,Monday,35.94117647
411,clear-day,41,0,8,Monday,46.41176471
51,clear-night,74,0,21,Sunday,74.58823529
13,clear-night,50,0,20,Monday,48.17647059
30,clear-night,56,0,21,Saturday,58
2900,partly-cloudy-day,38,0,14,Wednesday,36.52941176
366,snow,28,0.0096,17,Wednesday,29.11764706
11,clear-night,29,0,22,Friday,34.35294118
848,partly-cloudy-day,63,0,11,Sunday,51.94117647
1035,partly-cloudy-day,31,0,16,Monday,29.11764706
1561,partly-cloudy-day,74,0,10,Thursday,77.52941176
1860,clear-day,47,0,13,Tuesday,42.70588235
13,partly-cloudy-night,56,0,22,Monday,60.70588235
260,partly-cloudy-day,69,0,7,Friday,74.94117647
1522,partly-cloudy-day,38,0,14,Monday,35.41176471
1079,clear-day,54,0,9,Saturday,57.76470588
353,partly-cloudy-day,68,0,7,Saturday,75.11764706
53,rain,54,0.0747,9,Thursday,49.29411765
1627,clear-day,45,0,10,Monday,48.17647059
723,clear-day,37,0,9,Saturday,40.47058824
178,partly-cloudy-day,24,0,8,Thursday,28.29411765
36,clear-night,41,0,6,Saturday,52.35294118
278,partly-cloudy-day,61,0,7,Tuesday,68.41176471
2020,clear-day,74,0,10,Friday,74.70588235
246,partly-cloudy-day,25,0,9,Sunday,27.88235294
10,partly-cloudy-night,36,0,22,Thursday,40.17647059
3808,clear-day,44,0,15,Wednesday,37.11764706
31,partly-cloudy-night,74,0,22,Wednesday,74.35294118
1821,partly-cloudy-day,74,0,13,Tuesday,73
3353,partly-cloudy-day,67,0,17,Saturday,59.88235294
1490,cloudy,69,0,11,Thursday,71.64705882
880,rain,42,0.0035,11,Monday,40.47058824
2060,partly-cloudy-day,84,0,14,Monday,78.76470588
441,partly-cloudy-day,74,0,8,Thursday,78.70588235
285,rain,71,0.023,9,Monday,73.35294118
1,cloudy,37,0,16,Friday,33.82352941
23,clear-night,57,0,21,Wednesday,62.58823529
2144,partly-cloudy-day,68,0,17,Wednesday,60.23529412
12,rain,36,0.0167,21,Tuesday,34.88235294
1519,clear-day,63,0,11,Tuesday,66.11764706
1224,clear-day,75,0,20,Tuesday,72.23529412
30,partly-cloudy-night,73,0,22,Friday,74.94117647
12,partly-cloudy-night,28,0,6,Sunday,41.17647059
699,cloudy,51,0,9,Friday,52.82352941
1495,clear-day,52,0,11,Wednesday,49.76470588
750,cloudy,75,0,9,Friday,83.41176471
1864,partly-cloudy-day,80,0,11,Sunday,77.82352941
3104,partly-cloudy-day,76,0,14,Friday,67.58823529
233,rain,48,0.0591,10,Sunday,46.94117647
1,partly-cloudy-night,33,0,21,Friday,33.82352941
222,clear-day,33,0,7,Friday,44
808,cloudy,75,0,9,Friday,77.88235294
1140,clear-day,35,0,16,Tuesday,33
3384,clear-day,66,0,14,Saturday,63.52941176
36,partly-cloudy-night,73,0.0034,21,Wednesday,77.35294118
834,rain,72,0.0099,18,Wednesday,71.35294118
1,partly-cloudy-day,27,0,11,Saturday,28.11764706
1389,partly-cloudy-day,86,0,12,Friday,82.82352941
1,clear-night,31,0,20,Saturday,26.52941176
1400,partly-cloudy-day,40,0,11,Sunday,38.29411765
37,partly-cloudy-night,43,0,21,Tuesday,50.47058824
2087,clear-day,42,0.0035,11,Saturday,40.35294118
67,clear-night,77,0,20,Sunday,75.76470588
889,cloudy,52,0.0111,14,Sunday,51.94117647
2484,clear-day,40,0,15,Friday,35.70588235
966,partly-cloudy-day,80,0,11,Thursday,73.41176471
536,partly-cloudy-night,42,0,17,Sunday,42.29411765
1450,clear-day,48,0,16,Tuesday,42.41176471
2946,partly-cloudy-day,80,0,16,Saturday,73.35294118
2017,clear-day,78,0,13,Tuesday,74.58823529
8,partly-cloudy-night,32,0,21,Monday,29.11764706
1742,partly-cloudy-day,82,0,11,Sunday,80.88235294
2174,partly-cloudy-day,86,0,14,Thursday,80.05882353
45,clear-night,90,0,21,Saturday,90.29411765
85,clear-night,66,0,22,Saturday,74.05882353
503,rain,55,0.0441,10,Sunday,53.64705882
285,partly-cloudy-night,75,0,20,Tuesday,75.76470588
1508,partly-cloudy-day,74,0,10,Sunday,75.82352941
53,clear-night,58,0,20,Saturday,58
912,cloudy,55,0,10,Wednesday,52.58823529
1549,cloudy,49,0,14,Thursday,46.11764706
1367,partly-cloudy-day,64,0,10,Thursday,65.82352941
78,clear-day,4,0,9,Thursday,10.47058824
456,clear-day,93,0,12,Sunday,90.70588235
748,clear-day,45,0,9,Tuesday,50.58823529
416,clear-day,69,0,8,Sunday,77.47058824
510,clear-day,46,0,8,Tuesday,56.64705882
1825,clear-day,77,0,16,Tuesday,70.11764706
2153,partly-cloudy-day,82,0,16,Sunday,74.47058824
1245,cloudy,51,0.0037,15,Tuesday,48.58823529
41,clear-night,52,0,20,Wednesday,53.88235294
680,partly-cloudy-day,35,0,9,Wednesday,36.52941176
26,rain,59,0.0042,20,Tuesday,57.29411765
1824,clear-day,74,0,10,Monday,75.70588235
1384,partly-cloudy-day,67,0,10,Monday,67.41176471
1828,cloudy,74,0,13,Monday,72.41176471
764,clear-day,46,0,9,Monday,50.05882353
1515,clear-day,75,0,10,Friday,73.17647059
2038,partly-cloudy-day,48,0.0068,14,Thursday,43.64705882
104,clear-night,31,0.0014,18,Friday,27.88235294
4287,partly-cloudy-day,68,0,15,Saturday,63.94117647
864,cloudy,72,0,12,Tuesday,70.17647059
45,partly-cloudy-night,81,0,20,Wednesday,78.23529412
41,rain,69,0.031,22,Friday,71
2500,partly-cloudy-day,73,0,11,Sunday,71
67,cloudy,57,0.0091,20,Thursday,55.58823529
106,partly-cloudy-night,71,0,6,Wednesday,80.76470588
1749,cloudy,50,0,12,Thursday,45.35294118
1380,clear-day,47,0,11,Wednesday,44.47058824
1077,cloudy,38,0,9,Tuesday,41.23529412
5,clear-night,31,0,6,Thursday,40.41176471
1477,partly-cloudy-day,76,0,18,Friday,71
80,partly-cloudy-day,54,0,6,Saturday,59.88235294
42,clear-night,42,0,20,Friday,40.17647059
72,fog,27,0.0045,7,Friday,32.17647059
2170,cloudy,68,0,12,Friday,68.11764706
2214,clear-day,64,0,17,Wednesday,60.70588235
8,clear-night,46,0,18,Saturday,46.23529412
