Q,ProvO,Distance,Duration,Reason,Age,Gender,HHI,Others,Mode,Cost
Q1,Alberta,160,1,vacation,45-54,Male,100K and Up,0,car,480
Q1,Prince Edward Island,179,6,vacation,55-64,Male,100K and Up,0,car,5825
Q3,Ontario,174,2,vacation,35-44,Female,100K and Up,0,car,255
Q3,Ontario,266,3,vacation,19-24,Male,50K to 69K,0,car,300
Q3,Newfoundland and Labrador,1090,20,vacation,25-34,Male,70K to 99K,2,car,5180
Q2,Ontario,988,3,vacation,65+,Female,50K to 69K,0,car,748
Q3,Ontario,480,1,vacation,35-44,Male,100K and Up,4,car,1034
Q1,Saskatchewan,152,2,vacation,45-54,Male,100K and Up,1,car,675
Q4,Ontario,267,3,vacation,45-54,Female,Under 50K,1,car,254
Q2,Ontario,148,1,vacation,55-64,Female,100K and Up,0,car,150
Q4,Quebec,85,1,vacation,65+,Female,70K to 99K,0,car,70
Q3,Saskatchewan,697,2,vacation,45-54,Male,Under 50K,0,car,410
Q4,Ontario,101,1,vacation,65+,Male,50K to 69K,2,car,1090
Q4,Quebec,71,2,vacation,45-54,Male,50K to 69K,0,car,328
Q3,British Columbia,58,2,vacation,35-44,Male,100K and Up,4,car,80
Q3,Manitoba,75,2,vacation,45-54,Female,100K and Up,0,car,165
Q2,Manitoba,234,3,vacation,25-34,Female,100K and Up,4,car,570
Q3,Alberta,281,1,vacation,25-34,Female,100K and Up,1,car,507
Q1,Saskatchewan,945,2,vacation,25-34,Female,50K to 69K,2,car,670
Q2,Ontario,333,4,vacation,25-34,Female,50K to 69K,1,car,1050
Q4,Ontario,102,2,vacation,45-54,Male,100K and Up,0,car,20
Q1,Ontario,336,1,vacation,25-34,Male,100K and Up,0,plane,640
Q2,Saskatchewan,3254,4,vacation,65+,Female,100K and Up,0,plane,2670
Q3,Manitoba,1752,3,vacation,35-44,Male,100K and Up,0,plane,1700
Q2,British Columbia,405,4,vacation,35-44,Female,100K and Up,0,car,1805
Q1,Quebec,79,3,vacation,55-64,Female,70K to 99K,0,car,80
Q1,Saskatchewan,67,1,vacation,35-44,Female,100K and Up,2,car,620
Q2,Alberta,428,2,vacation,45-54,Female,100K and Up,0,car,230
Q3,Alberta,314,4,vacation,35-44,Male,100K and Up,1,car,165
Q3,Saskatchewan,96,2,vacation,25-34,Female,Under 50K,8,car,365
Q1,Ontario,27,2,vacation,35-44,Female,100K and Up,2,car,950
Q1,Ontario,73,1,vacation,55-64,Male,100K and Up,0,car,1055
Q1,British Columbia,162,2,vacation,65+,Male,50K to 69K,0,car,220
Q3,Quebec,90,1,vacation,65+,Male,50K to 69K,0,car,370
Q4,British Columbia,104,1,vacation,45-54,Female,100K and Up,2,car,1310
Q1,Ontario,3065,1,vacation,65+,Female,70K to 99K,3,plane,2309
Q3,Ontario,169,2,vacation,45-54,Male,100K and Up,0,car,725
Q1,Ontario,96,1,vacation,25-34,Male,70K to 99K,3,car,132
Q3,British Columbia,4445,16,vacation,65+,Male,70K to 99K,0,plane,11950
Q1,British Columbia,144,1,vacation,65+,Female,100K and Up,0,car,25
Q3,Ontario,496,3,vacation,55-64,Male,100K and Up,2,plane,3300
Q3,British Columbia,266,3,vacation,35-44,Female,100K and Up,3,car,1780
Q4,Newfoundland and Labrador,1647,3,vacation,45-54,Male,100K and Up,2,plane,2012
Q4,Manitoba,89,1,vacation,55-64,Male,70K to 99K,0,car,391
Q1,Ontario,121,1,vacation,45-54,Male,100K and Up,0,car,293
Q1,Newfoundland and Labrador,445,10,vacation,19-24,Male,Under 50K,1,car,500
Q3,Quebec,173,1,vacation,35-44,Male,50K to 69K,0,car,61
Q3,Saskatchewan,493,1,vacation,55-64,Male,100K and Up,0,car,575
Q1,Quebec,88,2,vacation,65+,Male,70K to 99K,0,car,480
Q2,Alberta,417,7,vacation,65+,Male,100K and Up,0,car,280
Q4,Ontario,110,1,vacation,25-34,Female,100K and Up,0,car,220
Q4,Manitoba,1571,1,vacation,55-64,Male,70K to 99K,0,plane,1800
Q4,Ontario,288,2,vacation,25-34,Male,100K and Up,0,car,1870
Q3,Quebec,94,3,vacation,65+,Male,50K to 69K,0,car,255
Q4,Ontario,61,1,vacation,45-54,Female,70K to 99K,0,car,794
Q3,British Columbia,97,2,vacation,25-34,Female,100K and Up,0,car,1239
Q1,Saskatchewan,135,1,vacation,45-54,Male,100K and Up,0,car,610
Q3,Ontario,1442,22,vacation,65+,Male,50K to 69K,0,car,2000
Q4,Quebec,58,5,vacation,55-64,Female,100K and Up,2,car,250
Q1,Ontario,313,2,vacation,55-64,Male,100K and Up,1,car,360
Q2,Ontario,112,1,vacation,65+,Female,100K and Up,0,car,435
Q1,Saskatchewan,710,2,vacation,19-24,Female,100K and Up,0,plane,1400
Q1,New Brunswick,235,2,vacation,25-34,Female,50K to 69K,9,car,1530
Q1,Nova Scotia,133,1,vacation,25-34,Female,70K to 99K,2,car,430
Q1,Saskatchewan,226,2,vacation,19-24,Female,Under 50K,9,car,542
Q3,Alberta,384,6,vacation,55-64,Male,100K and Up,2,car,1000
Q1,Ontario,368,2,vacation,35-44,Female,70K to 99K,1,car,895
Q1,Ontario,94,2,vacation,45-54,Female,100K and Up,0,car,1260
Q3,Alberta,291,2,vacation,35-44,Female,70K to 99K,2,car,900
Q3,Quebec,649,4,vacation,25-34,Female,50K to 69K,1,car,489
Q1,Quebec,202,2,vacation,65+,Male,70K to 99K,1,car,700
Q2,Ontario,93,2,vacation,35-44,Male,50K to 69K,1,car,205
Q1,Manitoba,161,2,vacation,25-34,Male,70K to 99K,2,car,900
Q1,Ontario,116,2,vacation,65+,Female,100K and Up,2,car,100
Q4,Saskatchewan,208,1,vacation,55-64,Female,50K to 69K,0,car,120
Q1,British Columbia,181,3,vacation,25-34,Female,Under 50K,0,car,500
Q2,British Columbia,90,2,vacation,55-64,Female,100K and Up,2,car,0
Q4,Ontario,100,2,vacation,45-54,Female,50K to 69K,4,car,910
Q4,Quebec,82,2,vacation,35-44,Male,100K and Up,0,car,1240
Q1,Saskatchewan,250,2,vacation,65+,Female,50K to 69K,1,car,400
Q4,Saskatchewan,235,1,vacation,25-34,Male,50K to 69K,4,car,610
Q1,British Columbia,86,2,vacation,45-54,Female,50K to 69K,0,car,2150
Q4,Ontario,145,1,vacation,65+,Female,100K and Up,1,car,7530
Q3,Ontario,352,2,vacation,65+,Female,70K to 99K,0,car,670
Q2,British Columbia,57,2,vacation,65+,Male,100K and Up,0,car,392
Q4,Ontario,168,3,vacation,65+,Male,50K to 69K,5,car,1410
Q1,Saskatchewan,158,2,vacation,55-64,Female,Under 50K,0,car,475
Q3,British Columbia,94,2,vacation,55-64,Female,50K to 69K,3,car,450
Q3,Prince Edward Island,150,2,vacation,35-44,Female,100K and Up,0,car,2480
Q1,Ontario,690,4,vacation,25-34,Male,Under 50K,6,car,702
Q1,Saskatchewan,167,2,vacation,35-44,Male,Under 50K,0,car,612
Q4,New Brunswick,177,1,vacation,45-54,Female,100K and Up,2,car,372
Q2,Ontario,196,1,vacation,65+,Male,100K and Up,0,car,0
Q3,New Brunswick,122,1,vacation,65+,Male,Under 50K,0,car,190
Q3,Alberta,281,1,vacation,35-44,Male,70K to 99K,1,car,300
Q4,Ontario,253,9,vacation,55-64,Male,100K and Up,0,car,215
Q1,Alberta,78,1,vacation,25-34,Female,100K and Up,2,car,235
Q3,Ontario,79,3,vacation,45-54,Male,70K to 99K,15,car,1585
Q4,Quebec,231,2,vacation,65+,Female,50K to 69K,0,car,597
Q3,Manitoba,89,3,vacation,65+,Female,70K to 99K,0,car,230
Q3,Ontario,45,2,vacation,45-54,Female,100K and Up,0,car,170
Q1,British Columbia,38,4,vacation,45-54,Male,100K and Up,0,plane,335
Q1,Ontario,166,5,vacation,55-64,Male,100K and Up,1,car,385
Q2,Saskatchewan,48,2,vacation,45-54,Female,100K and Up,0,car,150
Q1,British Columbia,100,3,vacation,45-54,Male,Under 50K,0,car,450
Q3,Nova Scotia,98,4,vacation,45-54,Female,50K to 69K,0,car,487
Q1,Alberta,577,3,vacation,25-34,Male,70K to 99K,13,plane,1015
Q3,Ontario,104,1,vacation,65+,Male,70K to 99K,1,car,265
Q1,British Columbia,413,5,vacation,55-64,Female,100K and Up,0,car,270
Q1,Saskatchewan,145,3,vacation,45-54,Female,Under 50K,0,car,40
Q2,Alberta,184,2,vacation,55-64,Female,Under 50K,0,car,200
Q4,New Brunswick,601,4,vacation,45-54,Male,100K and Up,0,plane,2210
Q1,Newfoundland and Labrador,78,2,vacation,45-54,Female,70K to 99K,1,car,697
Q4,Quebec,151,1,vacation,65+,Male,Under 50K,0,car,172
Q3,Saskatchewan,3254,6,vacation,19-24,Female,Under 50K,2,plane,3025
Q3,Quebec,235,1,vacation,35-44,Female,100K and Up,0,car,470
Q1,Alberta,290,3,vacation,25-34,Male,50K to 69K,0,car,780
Q2,Saskatchewan,235,1,vacation,65+,Male,50K to 69K,0,car,150
Q3,Ontario,306,2,vacation,55-64,Male,50K to 69K,0,car,0
Q3,Quebec,114,1,vacation,65+,Female,Under 50K,1,car,27
Q3,Ontario,205,4,vacation,25-34,Male,Under 50K,3,car,600
Q4,Manitoba,343,2,vacation,19-24,Male,100K and Up,8,car,1200
Q1,New Brunswick,138,1,vacation,45-54,Female,70K to 99K,0,car,190
Q3,British Columbia,248,2,vacation,25-34,Male,100K and Up,8,car,750
Q4,British Columbia,98,1,vacation,35-44,Female,Under 50K,1,car,350
Q3,Quebec,246,14,vacation,55-64,Female,70K to 99K,0,car,1420
Q3,Nova Scotia,110,1,vacation,55-64,Male,100K and Up,2,car,710
Q3,Quebec,173,4,vacation,35-44,Female,70K to 99K,0,car,530
Q3,Ontario,89,4,vacation,55-64,Female,50K to 69K,0,car,1150
Q1,Ontario,153,2,vacation,25-34,Female,50K to 69K,1,car,455
Q1,Quebec,18,2,vacation,55-64,Male,100K and Up,0,car,54
Q2,British Columbia,327,5,vacation,55-64,Female,Under 50K,0,car,1205
Q3,British Columbia,431,4,vacation,55-64,Male,100K and Up,0,car,579
Q1,New Brunswick,192,4,vacation,45-54,Female,70K to 99K,5,car,1550
Q1,Saskatchewan,235,2,vacation,25-34,Female,70K to 99K,5,car,580
Q1,Ontario,278,1,vacation,55-64,Female,70K to 99K,2,car,644
Q3,Alberta,141,2,vacation,19-24,Male,Under 50K,0,car,50
Q3,Ontario,140,1,vacation,65+,Male,Under 50K,0,car,435
Q3,New Brunswick,553,4,vacation,65+,Male,50K to 69K,0,car,2219
Q1,Quebec,104,5,vacation,65+,Female,70K to 99K,0,car,1329
Q3,British Columbia,81,2,vacation,55-64,Male,100K and Up,1,car,230
Q4,Ontario,56,1,vacation,45-54,Male,Under 50K,1,car,0
Q4,Quebec,412,5,vacation,65+,Male,100K and Up,0,car,1050
Q4,Ontario,285,2,vacation,55-64,Male,100K and Up,1,car,465
Q3,Quebec,295,2,vacation,45-54,Male,100K and Up,0,car,734
Q3,Ontario,42,6,vacation,25-34,Female,100K and Up,4,car,603
Q3,Quebec,336,2,vacation,45-54,Female,70K to 99K,0,car,590
Q2,Saskatchewan,956,2,vacation,65+,Male,100K and Up,0,car,615
Q4,Saskatchewan,490,1,vacation,55-64,Male,100K and Up,1,car,312
Q4,Ontario,87,2,vacation,25-34,Female,50K to 69K,0,car,70
Q3,Prince Edward Island,43,2,vacation,45-54,Male,100K and Up,0,car,430
Q3,Alberta,194,11,vacation,65+,Female,70K to 99K,0,car,2530
Q1,Manitoba,56,2,vacation,55-64,Male,70K to 99K,0,car,265
Q2,New Brunswick,96,8,vacation,65+,Female,70K to 99K,0,car,350
Q4,Ontario,110,1,vacation,35-44,Female,100K and Up,0,car,430
Q3,Saskatchewan,67,3,vacation,35-44,Female,Under 50K,1,car,140
Q4,Ontario,120,8,vacation,25-34,Male,Under 50K,0,car,1290
Q3,Ontario,177,1,vacation,25-34,Female,70K to 99K,15,car,200
Q1,British Columbia,157,5,vacation,55-64,Female,100K and Up,0,car,836
Q2,Ontario,159,2,vacation,25-34,Male,70K to 99K,6,car,515
Q1,Saskatchewan,123,2,vacation,65+,Female,50K to 69K,1,car,627
Q1,Ontario,172,1,vacation,55-64,Male,100K and Up,2,car,245
Q1,Manitoba,194,1,vacation,55-64,Female,100K and Up,0,car,875
Q2,Ontario,162,1,vacation,55-64,Female,70K to 99K,3,car,225
Q4,Ontario,187,3,vacation,25-34,Female,100K and Up,4,car,940
Q3,Quebec,187,4,vacation,65+,Female,50K to 69K,2,car,505
Q2,Ontario,73,2,vacation,45-54,Female,100K and Up,1,car,420
Q1,Ontario,218,2,vacation,35-44,Male,100K and Up,0,car,1370
Q3,Alberta,23,6,vacation,45-54,Male,100K and Up,1,car,1010
Q4,Manitoba,258,1,vacation,45-54,Female,100K and Up,0,car,300
Q1,Ontario,247,2,vacation,35-44,Female,50K to 69K,0,car,176
Q2,Nova Scotia,179,2,vacation,65+,Male,100K and Up,2,car,645
Q1,Quebec,279,3,vacation,45-54,Male,100K and Up,0,car,1255
Q4,Ontario,224,1,vacation,55-64,Female,Under 50K,1,car,70
Q3,Quebec,369,1,vacation,45-54,Female,100K and Up,1,car,430
Q1,British Columbia,258,2,vacation,19-24,Male,100K and Up,0,car,875
Q1,Saskatchewan,68,1,vacation,35-44,Male,Under 50K,4,car,60
Q3,Nova Scotia,156,5,vacation,65+,Male,70K to 99K,0,car,1560
Q3,Manitoba,96,3,vacation,45-54,Female,100K and Up,0,car,422
Q3,Ontario,1274,4,vacation,55-64,Male,100K and Up,0,car,5000
Q2,Alberta,89,1,vacation,45-54,Male,70K to 99K,0,car,187
Q3,Quebec,243,1,vacation,65+,Female,Under 50K,2,car,400
Q4,Quebec,156,2,vacation,45-54,Female,70K to 99K,0,car,1440
Q3,Quebec,108,1,vacation,65+,Male,100K and Up,2,car,910
Q1,Saskatchewan,525,3,vacation,55-64,Male,100K and Up,0,car,670
Q3,Manitoba,89,9,vacation,55-64,Female,100K and Up,0,car,120
Q4,Ontario,133,2,vacation,25-34,Male,100K and Up,0,car,450
Q4,Ontario,292,5,vacation,55-64,Male,70K to 99K,1,car,280
Q4,Ontario,172,1,vacation,25-34,Female,70K to 99K,1,car,200
Q2,Alberta,217,2,vacation,25-34,Male,100K and Up,0,car,720
Q4,Manitoba,104,1,vacation,45-54,Male,100K and Up,0,car,60
Q3,Manitoba,162,2,vacation,45-54,Male,100K and Up,0,car,670
Q3,Manitoba,129,7,vacation,35-44,Male,50K to 69K,4,car,1450
Q3,Quebec,3107,26,vacation,45-54,Male,50K to 69K,0,car,10620
Q1,Ontario,106,1,vacation,65+,Female,50K to 69K,2,car,505
Q1,Alberta,267,2,vacation,35-44,Male,50K to 69K,0,car,540
Q1,Newfoundland and Labrador,302,3,vacation,25-34,Female,50K to 69K,0,car,450
Q1,Alberta,461,6,vacation,35-44,Female,100K and Up,6,car,750
Q4,Ontario,126,1,vacation,45-54,Female,100K and Up,0,car,850
Q1,Ontario,496,3,vacation,35-44,Male,100K and Up,1,plane,1431
Q3,Quebec,231,1,vacation,45-54,Female,100K and Up,2,car,625
Q2,Prince Edward Island,129,1,vacation,45-54,Male,Under 50K,0,car,250
Q4,Saskatchewan,181,1,vacation,35-44,Female,50K to 69K,0,car,245
Q3,Manitoba,105,2,vacation,45-54,Female,100K and Up,0,car,350
Q3,Quebec,156,1,vacation,55-64,Female,100K and Up,0,car,81
Q2,Ontario,585,1,vacation,55-64,Female,100K and Up,2,car,1404
Q1,Ontario,260,1,vacation,25-34,Female,50K to 69K,4,car,100
Q4,Manitoba,249,2,vacation,45-54,Male,100K and Up,0,car,1305
Q3,Alberta,577,3,vacation,25-34,Female,50K to 69K,3,plane,943
Q1,British Columbia,237,3,vacation,55-64,Male,100K and Up,0,car,400
Q3,Newfoundland and Labrador,47,2,vacation,25-34,Male,100K and Up,0,car,305
Q2,Alberta,3699,7,vacation,35-44,Female,Under 50K,0,plane,3050
Q1,New Brunswick,303,3,vacation,55-64,Male,100K and Up,1,car,760
Q3,Ontario,245,7,vacation,45-54,Male,100K and Up,1,car,1000
Q1,Ontario,188,1,vacation,35-44,Female,70K to 99K,1,car,390
Q3,Ontario,704,4,vacation,35-44,Male,100K and Up,2,plane,4916
Q1,Quebec,183,1,vacation,65+,Male,100K and Up,0,car,80
Q1,Ontario,147,3,vacation,45-54,Male,100K and Up,0,car,260
Q4,Quebec,24,1,vacation,45-54,Female,100K and Up,0,car,260
Q4,Ontario,93,4,vacation,25-34,Female,Under 50K,0,car,294
Q3,Ontario,127,2,vacation,19-24,Female,Under 50K,3,car,270
Q3,Manitoba,52,2,vacation,45-54,Male,100K and Up,0,car,140
Q3,Manitoba,90,2,vacation,65+,Male,50K to 69K,0,car,80
Q2,Ontario,83,1,vacation,45-54,Male,100K and Up,0,car,85
Q4,Quebec,617,1,vacation,55-64,Male,70K to 99K,0,car,1000
Q3,Quebec,232,2,vacation,45-54,Male,100K and Up,0,car,576
Q3,Nova Scotia,111,1,vacation,65+,Male,100K and Up,0,car,405
Q2,Ontario,185,6,vacation,45-54,Female,50K to 69K,0,car,4550
Q4,Manitoba,6,1,vacation,55-64,Female,100K and Up,0,car,55
Q4,Ontario,172,3,vacation,35-44,Female,Under 50K,2,car,907
Q2,Alberta,144,1,vacation,35-44,Female,100K and Up,4,car,518
Q1,Manitoba,157,1,vacation,45-54,Female,Under 50K,0,car,150
Q3,Quebec,191,2,vacation,65+,Male,50K to 69K,0,car,650
Q1,Ontario,91,2,vacation,25-34,Female,100K and Up,2,car,695
Q2,New Brunswick,99,1,vacation,35-44,Male,100K and Up,0,car,350
Q3,Alberta,298,1,vacation,35-44,Female,100K and Up,0,car,195
Q3,Newfoundland and Labrador,1046,15,vacation,45-54,Male,100K and Up,0,plane,2150
Q3,Alberta,4267,10,vacation,65+,Female,100K and Up,2,plane,10950
Q3,British Columbia,274,3,vacation,55-64,Male,70K to 99K,0,car,84
Q1,Ontario,358,3,vacation,25-34,Male,100K and Up,0,car,530
Q1,Nova Scotia,69,2,vacation,55-64,Female,100K and Up,2,car,610
Q3,Nova Scotia,45,1,vacation,35-44,Male,70K to 99K,5,car,242
Q1,Quebec,65,1,vacation,35-44,Male,100K and Up,0,car,80
Q4,Ontario,86,1,vacation,25-34,Female,100K and Up,7,car,380
Q3,Saskatchewan,778,4,vacation,25-34,Female,50K to 69K,1,car,676
Q2,Alberta,72,4,vacation,55-64,Male,100K and Up,0,car,200
Q3,Saskatchewan,871,5,vacation,19-24,Male,100K and Up,0,car,3600
Q1,Ontario,109,2,vacation,55-64,Female,Under 50K,5,car,818
Q4,Nova Scotia,98,2,vacation,45-54,Female,100K and Up,6,car,442
Q1,British Columbia,94,1,vacation,55-64,Female,100K and Up,0,car,45
Q2,Quebec,264,3,vacation,65+,Male,100K and Up,0,car,402
Q4,Ontario,208,3,vacation,25-34,Male,100K and Up,0,car,1150
Q1,Ontario,337,2,vacation,45-54,Male,100K and Up,2,car,490
Q2,British Columbia,98,1,vacation,35-44,Female,Under 50K,0,car,275
Q4,Ontario,126,1,vacation,55-64,Male,70K to 99K,0,car,190
Q2,Ontario,523,3,vacation,25-34,Female,100K and Up,3,car,900
Q1,British Columbia,36,1,vacation,55-64,Female,70K to 99K,0,car,654
Q1,Alberta,73,1,vacation,25-34,Male,Under 50K,4,car,461
Q1,Quebec,217,1,vacation,45-54,Female,50K to 69K,1,car,380
Q4,Quebec,507,4,vacation,25-34,Male,100K and Up,3,car,1150
Q4,Saskatchewan,235,1,vacation,35-44,Female,50K to 69K,0,car,90
Q4,Ontario,58,1,vacation,55-64,Male,100K and Up,0,car,631
Q1,Ontario,333,1,vacation,55-64,Male,100K and Up,0,car,171
Q3,Ontario,68,3,vacation,35-44,Female,70K to 99K,0,car,460
Q1,Nova Scotia,202,4,vacation,55-64,Male,100K and Up,0,car,1280
Q1,Ontario,168,1,vacation,35-44,Male,100K and Up,3,car,1010
Q2,New Brunswick,300,5,vacation,65+,Male,50K to 69K,0,car,1815
Q4,Quebec,55,9,vacation,45-54,Male,100K and Up,2,car,750
Q4,Quebec,384,2,vacation,25-34,Female,100K and Up,0,car,447
Q1,Ontario,133,1,vacation,19-24,Female,100K and Up,0,car,400
Q1,Alberta,207,1,vacation,55-64,Male,100K and Up,5,car,260
Q2,Nova Scotia,98,1,vacation,35-44,Female,100K and Up,5,car,150
Q4,Quebec,83,4,vacation,55-64,Male,100K and Up,2,car,2225
Q1,Saskatchewan,203,4,vacation,65+,Female,100K and Up,0,car,580
Q1,Quebec,85,1,vacation,55-64,Male,100K and Up,0,car,241
Q3,Quebec,491,2,vacation,65+,Male,70K to 99K,0,car,350
Q3,Quebec,230,3,vacation,25-34,Female,100K and Up,0,car,597
Q1,Newfoundland and Labrador,69,1,vacation,25-34,Male,100K and Up,0,car,285
Q4,Ontario,234,2,vacation,19-24,Female,70K to 99K,2,car,400
Q1,Alberta,173,2,vacation,35-44,Male,100K and Up,2,car,498
Q4,Ontario,79,2,vacation,35-44,Male,100K and Up,0,car,320
Q2,Nova Scotia,136,2,vacation,35-44,Male,50K to 69K,0,car,955
Q3,Saskatchewan,151,3,vacation,19-24,Female,100K and Up,0,car,325
Q3,Alberta,854,21,vacation,55-64,Male,100K and Up,0,car,3520
Q3,Alberta,784,7,vacation,65+,Male,100K and Up,1,car,1520
Q3,Quebec,60,9,vacation,45-54,Female,100K and Up,2,car,2370
Q3,Quebec,122,1,vacation,45-54,Male,100K and Up,2,car,230
Q3,Saskatchewan,343,15,vacation,55-64,Male,100K and Up,0,car,1256
Q3,Ontario,90,1,vacation,55-64,Female,100K and Up,0,car,290
Q4,Quebec,133,2,vacation,45-54,Male,100K and Up,0,car,2100
Q2,Manitoba,44,1,vacation,19-24,Male,100K and Up,1,car,74
Q2,Manitoba,226,2,vacation,55-64,Male,100K and Up,0,car,110
Q3,Alberta,387,2,vacation,55-64,Male,100K and Up,0,car,550
Q4,Newfoundland and Labrador,56,2,vacation,65+,Male,70K to 99K,0,car,420
Q1,British Columbia,82,2,vacation,45-54,Female,100K and Up,0,car,640
Q1,Ontario,139,4,vacation,55-64,Male,100K and Up,0,car,175
Q2,Quebec,220,1,vacation,35-44,Female,100K and Up,1,car,295
Q2,British Columbia,534,1,vacation,45-54,Male,100K and Up,0,plane,2110
Q1,British Columbia,300,1,vacation,45-54,Female,Under 50K,1,car,250
Q3,Ontario,133,3,vacation,25-34,Male,50K to 69K,0,car,250
Q1,Ontario,168,2,vacation,45-54,Male,100K and Up,2,car,763
Q3,Quebec,29,1,vacation,35-44,Female,100K and Up,0,car,354
Q1,Saskatchewan,226,1,vacation,65+,Female,100K and Up,0,car,579
Q1,Ontario,168,1,vacation,55-64,Male,100K and Up,0,car,485
Q2,Ontario,357,3,vacation,65+,Female,Under 50K,1,car,564
Q1,Quebec,219,2,vacation,35-44,Female,100K and Up,0,car,2235
Q1,Nova Scotia,121,2,vacation,55-64,Female,70K to 99K,0,car,100
Q2,Alberta,302,7,vacation,65+,Male,50K to 69K,0,car,2640
Q3,Alberta,386,3,vacation,45-54,Female,100K and Up,0,car,2040
Q3,New Brunswick,254,1,vacation,19-24,Female,Under 50K,0,car,890
Q1,British Columbia,83,2,vacation,65+,Male,50K to 69K,0,car,430
Q1,Alberta,151,4,vacation,55-64,Male,100K and Up,0,car,405
Q1,British Columbia,87,3,vacation,45-54,Male,100K and Up,0,car,190
Q4,Ontario,101,1,vacation,45-54,Female,100K and Up,1,car,315
Q1,Ontario,2735,8,vacation,35-44,Male,100K and Up,7,plane,2030
Q4,Quebec,416,6,vacation,35-44,Female,100K and Up,0,car,150
Q3,Saskatchewan,235,1,vacation,35-44,Female,100K and Up,2,car,1848
Q4,Ontario,157,2,vacation,45-54,Female,100K and Up,2,car,200
Q4,Alberta,1201,2,vacation,65+,Female,100K and Up,0,car,975
Q1,Quebec,90,2,vacation,25-34,Male,50K to 69K,6,car,780
Q4,New Brunswick,240,3,vacation,45-54,Female,100K and Up,0,car,980
Q4,Ontario,257,3,vacation,55-64,Female,70K to 99K,0,car,614
Q3,Manitoba,194,2,vacation,45-54,Female,100K and Up,1,car,95
Q1,British Columbia,58,1,vacation,55-64,Female,100K and Up,0,car,645
Q4,Ontario,260,1,vacation,55-64,Male,Under 50K,0,car,336
Q3,Quebec,133,1,vacation,65+,Female,Under 50K,1,car,470
Q4,Ontario,109,2,vacation,25-34,Male,100K and Up,0,car,648
Q3,British Columbia,266,3,vacation,55-64,Male,70K to 99K,0,car,760
Q3,Saskatchewan,283,1,vacation,45-54,Female,100K and Up,0,car,395
Q1,Quebec,77,2,vacation,25-34,Male,50K to 69K,0,car,336
Q2,Alberta,174,2,vacation,35-44,Female,100K and Up,0,car,179
Q3,Alberta,470,6,vacation,55-64,Female,70K to 99K,3,car,1590
Q1,Manitoba,74,3,vacation,35-44,Male,70K to 99K,4,car,475
Q1,Quebec,115,2,vacation,19-24,Male,Under 50K,7,car,173
Q1,Quebec,115,2,vacation,19-24,Female,70K to 99K,4,car,750
Q3,Ontario,2131,12,vacation,65+,Male,100K and Up,2,car,4447
Q3,Saskatchewan,535,3,vacation,45-54,Female,100K and Up,3,car,2370
Q3,British Columbia,259,3,vacation,65+,Female,100K and Up,0,car,2370
Q3,British Columbia,131,1,vacation,65+,Female,70K to 99K,0,car,265
Q4,Ontario,252,3,vacation,65+,Male,100K and Up,0,car,975
Q3,Ontario,336,2,vacation,25-34,Male,100K and Up,2,car,1190
Q3,Ontario,196,3,vacation,35-44,Female,100K and Up,8,car,330
Q2,Nova Scotia,1470,2,vacation,65+,Female,70K to 99K,4,plane,966
Q3,Saskatchewan,890,8,vacation,19-24,Female,50K to 69K,12,car,2600
Q2,Ontario,148,3,vacation,65+,Female,100K and Up,0,car,183
Q1,Manitoba,120,1,vacation,65+,Female,50K to 69K,2,car,285
Q4,New Brunswick,106,1,vacation,25-34,Female,100K and Up,0,car,145
Q1,Ontario,69,1,vacation,65+,Male,50K to 69K,0,car,360
Q3,Ontario,69,1,vacation,55-64,Male,100K and Up,0,car,390
Q1,Prince Edward Island,580,1,vacation,55-64,Female,100K and Up,0,car,842
Q3,British Columbia,264,7,vacation,55-64,Male,100K and Up,0,car,1065
Q3,Saskatchewan,33,8,vacation,55-64,Male,100K and Up,0,car,915
Q1,Saskatchewan,92,3,vacation,25-34,Male,100K and Up,3,car,150
Q3,British Columbia,27,1,vacation,25-34,Female,100K and Up,0,car,75
Q1,Quebec,82,2,vacation,25-34,Male,50K to 69K,1,car,650
Q3,Alberta,2705,10,vacation,35-44,Female,Under 50K,0,plane,1443
Q3,Quebec,69,1,vacation,55-64,Female,50K to 69K,1,car,230
Q1,British Columbia,357,5,vacation,65+,Female,Under 50K,0,car,350
Q2,Quebec,366,2,vacation,55-64,Male,100K and Up,0,car,1390
Q4,New Brunswick,182,2,vacation,35-44,Male,50K to 69K,0,car,770
Q2,British Columbia,203,3,vacation,25-34,Male,100K and Up,2,car,711
Q4,Quebec,262,2,vacation,25-34,Male,70K to 99K,2,car,700
Q4,Quebec,22,1,vacation,35-44,Male,100K and Up,0,car,380
Q1,New Brunswick,138,1,vacation,55-64,Female,100K and Up,0,car,645
Q1,Saskatchewan,133,1,vacation,45-54,Male,100K and Up,2,car,402
Q2,Ontario,112,1,vacation,45-54,Male,100K and Up,0,car,140
Q3,Ontario,409,4,vacation,55-64,Female,100K and Up,1,car,985
Q3,Saskatchewan,188,2,vacation,55-64,Male,100K and Up,3,car,550
Q3,Ontario,64,2,vacation,45-54,Female,Under 50K,4,car,80
Q1,British Columbia,3353,9,vacation,65+,Male,100K and Up,0,plane,10543
Q1,Manitoba,95,1,vacation,55-64,Male,100K and Up,0,car,1285
Q3,Manitoba,180,2,vacation,65+,Female,70K to 99K,2,car,392
